Codigo_CPC,Articulo,Unidad_Medida,Produccion_Cantidad,Produccion_Valor_Miles_COP,Ventas_Cantidad,Ventas_Valor_Total_Miles_COP,Ventas_Exterior_Miles_COP,Existencias_Cantidad_Dic31,Categoria_Uso
3525014,Vitamina E,kg,10.0,163.0,10.0,163.0,0.0,0.0,MATERIA_PRIMA_FARMACEUTICA
3525020,Complemento vitamínico en polvo o jalea,kg,8341149.0,221146147.0,8525919.0,225792812.0,66591458.0,824905.0,MATERIA_PRIMA_FARMACEUTICA
3525021,Premezclas de vitaminas o aditivos vitamínicos,kg,7325797.0,125506781.0,7341782.0,114913565.0,27405924.0,1093727.0,MATERIA_PRIMA_FARMACEUTICA
3525039,Cafeína y sus sales,kg,131002.0,11937879.0,130175.0,11862516.0,10874132.0,47446.0,MATERIA_PRIMA_FARMACEUTICA
3525095,Vitaminas n.c.p.,kg,101657.0,3837977.0,126545.0,5090500.0,325764.0,9867.0,MATERIA_PRIMA_FARMACEUTICA
3525096,Hormonas n.c.p.,g,38929.0,1533092.0,38814.0,1528573.0,0.0,115.0,MATERIA_PRIMA_FARMACEUTICA
3525099,Antibióticos n.c.p.,v,0.0,16254953.0,0.0,15252666.0,401610.0,0.0,MATERIA_PRIMA_FARMACEUTICA
3526101,Medicamentos homeopáticos,v,0.0,92852563.0,0.0,90778583.0,34001400.0,0.0,OTROS_FARMACEUTICOS
3526102,Medicamentos homeopáticos en glóbulos,g,5119020.0,501664.0,5119020.0,501664.0,0.0,0.0,OTROS_FARMACEUTICOS
3526103,Endulzantes sintéticos educolorantes,kg,1208764.0,10477288.0,2006713.0,13766211.0,142485.0,1189456.0,OTROS_FARMACEUTICOS
3526104,"Medicamentos homeopáticos en polvo, tabletas y jalea",kg,177631.0,9491073.0,216110.0,12195503.0,888475.0,0.0,OTROS_FARMACEUTICOS
3526106,Antiinflamatorios no hormonales,kg,100160.0,3425424.0,100702.0,3452532.0,0.0,1275.0,OTROS_FARMACEUTICOS
3526107,Antiespasmódicos,kg,90708.0,2061355.0,84589.0,1851242.0,292697.0,21994.0,OTROS_FARMACEUTICOS
3526109,Agua estéril para inyectables,l,7867171.0,55493644.0,8873906.0,62575016.0,1226555.0,336625.0,OTROS_FARMACEUTICOS
3526110,Premezclas antibióticas,kg,1611295.0,12177974.0,1611295.0,12177974.0,0.0,0.0,OTROS_FARMACEUTICOS
3526111,"Productos farmacéuticos, para uso humano (aparato
digestivo y metabólico)",v,0.0,2673937660.0,0.0,2715427839.0,344236045.0,0.0,HUMANO
3526112,"Productos farmacéuticos, para uso humano (sangre y
órganos hematopoyéticos)",v,0.0,187829803.0,0.0,200669065.0,32315791.0,0.0,HUMANO
3526113,"Productos farmacéuticos, para uso humano (aparato
cardiovascular)",v,0.0,997028205.0,0.0,956975079.0,167925407.0,0.0,HUMANO
3526114,"Productos farmacéuticos, para uso humano
(dermatológicos)",v,0.0,726950669.0,0.0,758735973.0,147418056.0,0.0,HUMANO
3526115,"Productos farmacéuticos, para uso humano (aparato
genitourinario y hormonas sexuales)",v,0.0,337233906.0,0.0,256533355.0,26407972.0,0.0,HUMANO
3526116,"Productos farmacéuticos, para uso humano (hormonas
de uso sistémico, excepto las sexuales)",v,0.0,197762015.0,0.0,197604711.0,53832712.0,0.0,HUMANO
3526117,"Productos farmacéuticos, para uso humano
(antiinfeccioso en general para uso sistémico)",v,0.0,529939881.0,0.0,577475229.0,155418089.0,0.0,HUMANO
3526118,"Productos farmacéuticos, para uso humano (terapia
antineoplásica e inmunomoduladores)",v,0.0,18658341.0,0.0,18501191.0,2584938.0,0.0,HUMANO
3526119,"Productos farmacéuticos, para uso humano (aparato
musculoesquelético)",v,0.0,671941746.0,0.0,632983922.0,52572072.0,0.0,HUMANO
3526120,"Productos farmacéuticos, para uso humano (sistema
nervioso)",v,0.0,827816320.0,0.0,714830323.0,56739354.0,0.0,HUMANO
3526121,"Productos farmacéuticos, para uso humano (productos
antiparasitarios)",v,0.0,198922103.0,0.0,187758562.0,31269935.0,0.0,HUMANO
3526122,"Productos farmacéuticos, para uso humano (aparato
respiratorio)",v,0.0,1122946658.0,0.0,1136595576.0,290606745.0,0.0,HUMANO
3526123,"Productos farmacéuticos, para uso humano (órganos
de los sentidos)",v,0.0,311620935.0,0.0,314490222.0,77547274.0,0.0,HUMANO
3526201,"Productos farmacéuticos, para uso veterinario",v,0.0,1139323573.0,0.0,1147131404.0,167963989.0,0.0,VETERINARIO
3526202,Antiparasitarios para animales,kg,109582.0,4322804.0,109327.0,4238682.0,0.0,343.0,VETERINARIO
3527002,Plasma,kg,123932.0,2024745.0,123962.0,2026585.0,0.0,64961.0,BIOLOGICOS_APOSITOS_QUIRURGICOS
3527003,Hemoglobina,kg,2476917.0,9272215.0,1063765.0,3693528.0,0.0,365316.0,BIOLOGICOS_APOSITOS_QUIRURGICOS
3527004,Cultivo de bacterias-probióticos,g,1501045.0,7240562.0,1450896.0,7010933.0,0.0,113653.0,BIOLOGICOS_APOSITOS_QUIRURGICOS
3527010,Suero bovino,kg,67304.0,5725161.0,94394.0,15694668.0,0.0,4336.0,BIOLOGICOS_APOSITOS_QUIRURGICOS
3527011,Apósitos,n,407386.0,139796.0,373678.0,128318.0,0.0,33868.0,BIOLOGICOS_APOSITOS_QUIRURGICOS
