NIT,RazonSocial,Categoria,Subcategoria,DetalleActividadVeterinaria,ObjetoSocialPrincipal,Ciudad,Departamento,Direccion,Telefono,Celular,Email,FechaConstitucion,EstadoActual,Tamano,TipoSocietario,RevisorFiscalObligada,FirmaRevisorFiscal,Ingresos_COP_M_2018,Ingresos_COP_M_2019,Ingresos_COP_M_2020,Ingresos_COP_M_2021,Ingresos_COP_M_2022,Ingresos_COP_M_2023,Ingresos_COP_M_2024,Ingresos_COP_M_2025,EBITDA_COP_M_2018,EBITDA_COP_M_2019,EBITDA_COP_M_2020,EBITDA_COP_M_2021,EBITDA_COP_M_2022,EBITDA_COP_M_2023,EBITDA_COP_M_2024,EBITDA_COP_M_2025,UtilidadNeta_COP_M_2018,UtilidadNeta_COP_M_2019,UtilidadNeta_COP_M_2020,UtilidadNeta_COP_M_2021,UtilidadNeta_COP_M_2022,UtilidadNeta_COP_M_2023,UtilidadNeta_COP_M_2024,UtilidadNeta_COP_M_2025,TotalActivos_COP_M_2018,TotalActivos_COP_M_2019,TotalActivos_COP_M_2020,TotalActivos_COP_M_2021,TotalActivos_COP_M_2022,TotalActivos_COP_M_2023,TotalActivos_COP_M_2024,TotalActivos_COP_M_2025,TotalPatrimonio_COP_M_2018,TotalPatrimonio_COP_M_2019,TotalPatrimonio_COP_M_2020,TotalPatrimonio_COP_M_2021,TotalPatrimonio_COP_M_2022,TotalPatrimonio_COP_M_2023,TotalPatrimonio_COP_M_2024,TotalPatrimonio_COP_M_2025
890106527,PROCAPS S.A.,VETERINARIO_MIXTO,Laboratorio Farmacéutico Mixto (Humano + Veterinario),"Líder en cápsula blanda, formulaciones humanas y veterinarias",FABRICACION DE MEDICAMENTOS FABRICACION DE MEDICAMENTOS,BARRANQUILLA-ATLANTICO,ATLANTICO,CALLE 80#78B 201,3719291,3104245290,contacto@procaps.com.co,1976-07-26,ACTIVA,XL,01. SOCIEDAD ANÓNIMA,SI,ARGUELLES AUDITORES & ASOCIADOS S.A.,728961.607,810721.031,823999.214,1079488.4,1119102.629,1162874.778,948494.512,1024429.487,113909.03,155430.774,143231.565,228918.612,190846.101,257231.058,-13901.216,190933.5,-119.725,36055.762,27581.9,78282.262,37446.436,35842.587,-159659.804,-48117.769,1024869.488,1136916.968,1236741.061,1588685.269,1971730.521,1768381.19,1757583.247,1453692.182,188603.453,227023.074,255876.098,250696.369,327101.514,288787.541,117827.476,21192.486
890105927,C.I FARMACAPSULAS S.A.S,VETERINARIO_MIXTO,Laboratorio Farmacéutico Mixto (Humano + Veterinario),Cápsulas y envases para uso humano y veterinario,"El objeto social principal de la compañía C.I. FARMACAPSULAS S.A.S. es la fabricación, elaboración o ensamblaje compra venta, representación y distribución de cápsulas y otros envases de gelatinas, celulosa y otras materias primas  para uso y consumo humano y veterinario los cuales pueden ser utilizados para envasar productos farmacéuticos y nutracéuticos; la fabricación, importación y/o exportación de toda clase de productos farmacéuticos, nutracéuticos, alimenticios y de cosméticos; compra y/o importación de materia prima, insumos y/o productos intermedios necesarios para los procesos de fabricación, comercialización interna y externa de los productos terminados, entre otros",BARRANQUILLA-ATLANTICO,ATLANTICO,CALLE 79B CRA 78C - 21,6053304100,6053304100,EMARTINEZ@FARMACAPSULAS.COM,1976-04-05,ACTIVA,L,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,SI,,203953.031,256724.342,290099.811,346558.347,500637.207,545143.679,566982.873,571040.23,31342.033,39375.702,44081.73,51133.196,76030.178,76816.527,89882.679,107974.908,13505.374,17436.174,19041.015,22092.032,25256.925,39013.827,33445.119,59344.092,330117.187,347775.219,365431.277,432158.562,590176.632,589696.135,665720.342,617541.843,154183.699,171308.139,189849.155,211141.186,204887.204,243901.033,277346.151,184690.243
800093391,NOVAMED S.A.S,VETERINARIO_MIXTO,Laboratorio Farmacéutico Mixto (Humano + Veterinario),Cápsulas y medicamentos para uso humano y veterinario,"El objeto social de la sociedad consiste principalmente en la fabricación, elaboración o ensamblaje, compraventa, representación y distribución de cápsulas y otros envases de gelatina, celulosa y otras materias primas para uso y consumo humano y veterinario, los cuales pueden ser utilizados para envasar productos farmacéuticos y nutracéuticos, la fabricación, importación y/o exportación de toda clase de productos farmacéuticos, nutracéuticos, alimenticios y de cosméticos, compra y/o importación de materias primas, insumos y/o productos intermedios necesarios para los procesos de fabricación, comercialización interna y externa de los productos, entre otros.",BARRANQUILLA-ATLANTICO,ATLANTICO,CALLE 79B 78C 21,6053304100,6053304100,EMARTINEZ@FARMACAPSULAS.COM,1990-04-17,ACTIVA,L,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,SI,,148736.014,171914.218,152244.535,225099.352,381186.412,466928.067,487380.604,510951.245,13219.479,18105.83,15876.142,30323.997,67372.555,62597.472,56837.695,61926.555,7084.956,11030.417,8754.715,19374.202,42823.748,36638.42,31906.456,35604.794,75161.233,87082.138,86401.909,112027.036,177922.824,219200.416,257689.379,225607.362,39086.842,49017.259,56771.974,75546.175,108121.67,141760.09,173666.546,68261.179
800013834,LABORATORIOS LA SANTE S.A.,VETERINARIO_MIXTO,Laboratorio Farmacéutico Mixto (Humano + Veterinario),Farmacéutica humana con alcance y licencias veterinarias,"La fabricación de productos químicos, farmacéuticos, naturales, cosméticos y alimenticios, bien sean humanos o veterinarios",BOGOTA D.C.,BOGOTA D.C.,CL 17 A 32 34,3647500,3112547672,impuestos@pharmetiquelabs.com,1991-07-26,ACTIVA,L,01. SOCIEDAD ANÓNIMA,SI,CONSULTORES INTEGRADOS S.A.S,193601.551,196349.59,224592.106,266147.706,283996.409,296426.985,310131.103,315174.582,45420.979,38704.845,38723.257,63225.375,60642.035,36681.324,76633.087,63188.297,18354.395,6983.843,10027.326,26251.57,19846.431,887.069,25240.66,6466.788,454438.895,488053.853,493532.279,473717.862,479489.138,487290.766,521748.137,476590.242,175213.68,165949.136,157800.929,176492.507,130903.233,111989.545,139888.704,141822.752
890318919,VALLECILLA B Y VALLECILLA M Y CIA S.C.A CARVAL DE COLOMBIA,VETERINARIO_ESPECIALIZADO,Laboratorio Veterinario Especializado,"Líder nacional en salud animal, nutrición y fármacos veterinarios",PRODUCTORA Y COMERCIALIZADORA PRODUCTOS AGRICOLAS,CALI-VALLE,VALLE,CR 1 NRO 58-41,6933365,3137910505,impuestos@carval.com.co,1980-11-05,ACTIVA,L,05. SOCIEDAD EN COMANDITA POR ACCIONES,SI,CONSULTORES INTEGRADOS SAS,163393.952,170152.558,177384.004,197008.329,243709.432,270748.363,291478.935,320206.898,3916.466,2953.114,16165.262,10951.41,23229.645,33387.36,36640.686,35149.919,5257.425,2406.572,5729.919,9439.212,7253.672,8402.175,15142.932,13679.889,240990.617,259100.051,259462.949,318350.024,368129.271,371829.328,378289.612,412656.926,82329.698,105877.228,108107.147,147753.677,148219.835,155997.469,153308.056,169059.441
890203194,LABORATORIOS CHALVER DE COLOMBIA SAS,VETERINARIO_MIXTO,Laboratorio Farmacéutico Mixto (Humano + Veterinario),"Fuerte división humana, veterinaria y agroquímicos","PRODUCCION Y COMERCIALIZACION DE MEDICAMENTOS DE USO HUMANO, VETERINARIO Y AGROQUIMICOS",BOGOTA D.C.,BOGOTA D.C.,AV 68 37B 31 SUR,7245090,6017245090,NOTIFICACIONESCHALVER@CHALVER.COM,1970-10-15,ACTIVA,L,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,SI,,154637.83,153919.824,141478.049,179357.029,202249.025,207267.727,180472.242,164524.198,18004.745,17676.133,27699.496,51926.408,43885.941,35111.309,15854.192,18170.995,5290.222,9787.783,12483.704,32952.536,26266.536,19607.192,6228.486,7111.921,174916.272,185134.535,152192.268,184835.989,152719.458,169189.937,157266.143,148483.371,65163.449,104551.232,119434.936,145245.572,112742.043,108709.353,97291.648,98798.082
900463029,ALTEA FARMACEUTICA,VETERINARIO_MIXTO,Laboratorio Farmacéutico Mixto (Humano + Veterinario),Manufactura para terceros de fármacos humanos y pecuarios,"La fabricación, venta, importación, exportación, comercialización y distribución de productos farmacéuticos, cosméticos, químicos y equipos para apoyo tecnológico en áreas de la salud, química, clínica, microbiología, bancos de sangre, áreas de infecciosas proteínas plasmáticas, hematología y patología, materias primas e insumos químicos agropecuarios y veterinarios y elementos para la dotación de laboratorios químicos, bioquímicos, bacteriológicos, físicos, de control de calidad, docencia, investigación y desarrollo.",BOGOTA D.C.,BOGOTA D.C.,CL 10 No. 65 - 28,4466300,3204769029,notificaciones.altea@alteafarma.com.co,2011-09-01,ACTIVA,L,01. SOCIEDAD ANÓNIMA,SI,CROWE CO S.A.S,66859.77,71659.497,91423.981,100347.464,106846.064,134300.203,77857.06,140506.623,14394.634,18503.626,23411.362,24964.673,27051.657,36276.688,3753.245,29896.643,6338.328,9962.297,13012.688,14807.295,14964.385,18891.476,-2872.724,14021.762,35984.583,48892.803,62223.035,69122.567,92145.922,107394.66,127346.056,127725.308,14274.871,19781.738,32733.016,30205.484,33540.417,40716.42,37792.799,51871.498
900303919,PHARMETIQUE SA,VETERINARIO_MIXTO,Laboratorio Farmacéutico Mixto (Humano + Veterinario),Productos químicos y farmacéuticos de uso humano y veterinario,"Fabricación y producción de productos químicos, farmacéuticos, cosméticos y alimenticios de uso humano y veterinario",BOGOTA D.C.,BOGOTA D.C.,CR 65 B 13 13,4238000,3112547672,impuestos@pharmetiquelabs.com,2009-07-29,ACTIVA,L,01. SOCIEDAD ANÓNIMA,SI,ERNST & YOUNG AUDIT SAS,77761.175,75849.934,84670.234,89856.325,117815.299,129096.535,128469.63,123470.735,6345.488,3529.96,5135.354,8400.843,11092.085,12588.075,16016.356,16588.018,2842.855,341.986,161.704,3881.604,1836.856,1801.323,2316.498,-1777.764,153951.452,158750.641,170802.468,177201.551,208924.549,205872.625,207166.635,221985.981,88959.575,89301.561,89463.265,108466.681,114970.073,116771.396,114268.161,126599.703
899999002,EMPRESA COLOMBIANA DE PRODUCTOS VETERINARIOS S.A VECOL S.A,VETERINARIO_ESPECIALIZADO,Laboratorio Veterinario Especializado,"Vacunas, biológicos y fármacos veterinarios para ganadería y animales","Promoción y estimulo del incremento de la producción agropecuaria, y de insumos, asi como el mejoramiento de la salud humana y animal, mediante la producción, distribución, venta, comercialización, importación y exportación de productos biotecnologicos, quimicos, farmacéuticos, agrícolas e industriales.",BOGOTA D.C.,BOGOTA D.C.,AVENIDA EL DORADO 82 93,4254800,3132865565,vecol@vecol.com.co,1974-08-06,ACTIVA,L,01. SOCIEDAD ANÓNIMA,SI,BDO AUDIT S.A.S. BIC,0.0,77838.029,89560.838,105824.118,120939.722,120653.306,133422.332,156178.939,0.0,9913.628,11994.83,17629.833,17944.438,17666.947,23725.599,29172.541,0.0,5395.898,7686.651,8317.688,9737.186,14613.371,16097.351,20119.518,0.0,349340.722,361437.567,365697.088,380703.926,388885.182,425722.068,444227.069,0.0,318104.771,316085.863,318673.586,325367.643,338849.059,354872.972,375609.261
800059688,ALURA ANIMAL HEALTH & NUTRITION S.A.S,VETERINARIO_ESPECIALIZADO,Laboratorio Veterinario Especializado,"Especialista en nutrición, premezclas y salud animal",Fabricación de productos farmacéuticos,BOGOTA D.C.,BOGOTA D.C.,CR 129 22B 57 INT 23,6014181205,3188603475,rut.alura@iluma.bio,1989-03-16,ACTIVA,L,08. SOCIEDAD POR ACCIONES SIMPLIFICADA SAS,SI,CROWE CO S.A.S,67186.877,79902.829,63088.199,70068.223,78349.298,117018.987,121148.476,149885.274,9603.86,8331.448,6471.858,6103.292,9387.568,15167.87,17695.434,19200.935,4453.611,4330.831,3106.196,2025.587,5110.765,6473.185,5799.141,8986.037,54432.623,59212.289,46436.202,53158.851,75406.678,77845.65,116179.473,119972.601,11346.565,14021.954,12262.984,8072.365,12879.801,19352.986,25152.127,32550.993
