NIT,RazonSocial,CIIU,ObjetoSocial,Ciudad,Tamano
830033494,HEEL COLOMBIA LTDA,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",COMERCIO AL POR MAYOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES,BOGOTA D.C.,L
900438044,AMEC FOSTER WHEELER COLOMBIA SAS,M7110 - Actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica,"LA SOCIEDAD TENDRÁ COMO OBJETO PRINCIPAL LA PRESTACIÓN DE SERVICIOS Y REALIZACIÓN DE ACTIVIDADES EN LAS ÁREAS DE INGENIERÍA, COMPRAS Y CONSTRUCCIÓN.",BOGOTA-D.C.-BOGOTA D.C.,N/A
900490865,ZOETIS COLOMBIA SAS,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador","Fabricación, distribución, y venta de productos veterinarios",BOGOTA D.C.,L
860000753,BOEHRINGER INGELHEIM SA,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador","La fabricación, venta, distribución, importación y exportación de preductos químicos y farmaceuticos humanos y veterinarios, y ademas exportar otros productos.",BOGOTA D.C.,XL
901186367,ELANCO COLOMBIA S.A.S,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador","Manufacturación, formulación, generación, transformación, ensamble, mezcla, importación, exportación, comercialización, almacenamiento, distribución, deposito, empaquetamiento y disposición, en cualquier forma permitida por la ley, toda clase de productos veterinarios, artículos y mercancía para la salud y el cuidado animal.",BOGOTA D.C.,L
860514325,VIRBAC COLOMBIA LTDA,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",COMERCIALIZACION DE MEDICAMENTOS VETERINARIOS,BOGOTA D.C.,L
900524514,CEVA SALUD ANIMAL SAS,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador","COMERCIALIZACION, PRODUCCION, DISTRIBUCION Y VENTA DE MEDICAMENTOS VETERINARIOS",BOGOTA D.C.,L
800164767,GABRICA SAS,G4759 - Comercio al por menor de otros artículos domésticos en establecimientos especializados,"Realización de cualquier actividad civil o comercial lícita, tanto en Colombia como en el extranjero",BOGOTA D.C.,L
811047208,JARAMILLO PETS  S.A.S.,G4690 - Comercio al por mayor no especializado,COMERCIO AL POR MAYOR NO ESPECIALIZADO,MEDELLIN-ANTIOQUIA,L
860069284,AGROCAMPO SAS,"G4773 - Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados",COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES PARA ESTABLECIMIENTOS VETERINARIOS,BOGOTA D.C.,L
800221724,PRODUCTORA DE INSUMOS AGROPECUARIOS SOMEX S.A.S.,C1090 - Elaboración de alimentos preparados para animales,Elaboracion de alimentos preparados para animales,MEDELLIN-ANTIOQUIA,L
860026895,ITALCOL SA,C1090 - Elaboración de alimentos preparados para animales,ELABORACION DE ALIMENTOS CONCENTRADOS PARA ALIMENTOS,BOGOTA D.C.,XL
891304762,ITALCOL DE OCCIDENTE S.A.,C1090 - Elaboración de alimentos preparados para animales,ELABORACION DE ALIMENTOS CONCENTRADOS PARA ANIMALES,PALMIRA-VALLE,XL
900598065,iITALCOL DEL CARIBE SAS,"C2022 - Fabricación de pinturas, barnices y revestimientos similares, tintas para impresión y masillas",ELABORACION DISOLVENTES PARA PINTURAS,BARRANQUILLA-ATLANTICO,N/A
901378925,VGR ITALCOL DEL NORTE SAS,C1090 - Elaboración de alimentos preparados para animales,ELABORACION DE ALIMENTOS CONCENTRADOS PARA ANIMALES,LOS-PATIOS-NORTE DE SANTANDER,L
890901271,CONTEGRAL S.A.S.,C1090 - Elaboración de alimentos preparados para animales,"LA IMPORTACIÓN, EXPORTACIÓN, PRODUCCIÓN, ASISTENCIA TECNICA, PRESTACIÓN DE SERVICIOS, INTERMEDIACIÓN Y COMERCIALIZACIÓN AL POR MAYOR Y AL DETAL DE MATERIAS PRIMAS, INSUMOS, MATERIALES, EQUIPOS, PRODUCTOS Y SERVICIOS EN GENERAL RELACIONADOS CON LA INDUSTRIA DE ALIMENTOS PARA ANIMALES Y LA INDUSTRIA AGROPECUARIA EN GENERAL",ENVIGADO-ANTIOQUIA,XL
