NIT,RazonSocial,Anio,Ingresos,Costos,UtilidadBruta,GastosAdmon,GastosVentas,UtilidadOperativa,EBITDA,UtilidadNeta,TotalActivos,TotalPasivos,TotalPatrimonio,CIIU,Ciudad,Tamano,Subtipo
800164767,GABRICA SAS,2018,122733.06,66340.56,56392.5,7253.095,28414.262,18964.384,19466.589,11129.805,51768.195,25982.946,25785.249,G4759 - Comercio al por menor de otros artículos domésticos en establecimientos especializados,BOGOTA D.C.,L,DISTRIBUIDOR_MAYORISTA_PET
800164767,GABRICA SAS,2019,152583.875,84250.366,68333.509,11090.589,34030.481,21925.427,24359.822,12990.311,62011.89,23072.821,38939.069,G4759 - Comercio al por menor de otros artículos domésticos en establecimientos especializados,BOGOTA D.C.,L,DISTRIBUIDOR_MAYORISTA_PET
800164767,GABRICA SAS,2020,198646.971,112842.092,85804.879,11659.884,36572.582,36351.416,38964.377,25910.882,95240.617,30783.185,64457.432,G4759 - Comercio al por menor de otros artículos domésticos en establecimientos especializados,BOGOTA D.C.,L,DISTRIBUIDOR_MAYORISTA_PET
800164767,GABRICA SAS,2021,279419.464,162530.779,116888.685,12237.933,48912.41,53297.921,53954.876,43883.796,143227.041,43264.176,99962.865,G4759 - Comercio al por menor de otros artículos domésticos en establecimientos especializados,BOGOTA D.C.,L,DISTRIBUIDOR_MAYORISTA_PET
800164767,GABRICA SAS,2022,354639.125,207323.507,147315.618,14925.111,64238.529,63033.867,65411.393,48409.744,212519.515,79852.835,132666.68,G4759 - Comercio al por menor de otros artículos domésticos en establecimientos especializados,BOGOTA D.C.,L,DISTRIBUIDOR_MAYORISTA_PET
800164767,GABRICA SAS,2023,389020.107,231312.467,157707.64,15924.108,79496.731,55780.06,57286.396,37239.395,188895.994,49990.724,138905.27,G4759 - Comercio al por menor de otros artículos domésticos en establecimientos especializados,BOGOTA D.C.,L,DISTRIBUIDOR_MAYORISTA_PET
800164767,GABRICA SAS,2024,394274.982,224593.665,169681.317,15918.815,89618.362,57989.297,60802.745,43356.272,202725.524,58545.394,144180.13,G4759 - Comercio al por menor de otros artículos domésticos en establecimientos especializados,BOGOTA D.C.,L,DISTRIBUIDOR_MAYORISTA_PET
800164767,GABRICA SAS,2025,410143.995,243400.535,166743.46,20041.382,108150.214,35558.06,38749.613,20014.606,188361.596,49407.995,138953.601,G4759 - Comercio al por menor de otros artículos domésticos en establecimientos especializados,BOGOTA D.C.,L,DISTRIBUIDOR_MAYORISTA_PET
800221724,PRODUCTORA DE INSUMOS AGROPECUARIOS SOMEX S.A.S.,2018,95426.93,69228.109,26198.821,6297.432,10792.689,11391.571,13008.411,5235.679,59441.069,41018.904,18422.165,C1090 - Elaboración de alimentos preparados para animales,MEDELLIN-ANTIOQUIA,L,NUTRICION_SALES_GANADERAS
800221724,PRODUCTORA DE INSUMOS AGROPECUARIOS SOMEX S.A.S.,2019,108555.429,84128.943,24426.486,7059.358,12499.933,5233.242,6796.121,2426.585,71124.164,53511.278,17612.886,C1090 - Elaboración de alimentos preparados para animales,MEDELLIN-ANTIOQUIA,L,NUTRICION_SALES_GANADERAS
800221724,PRODUCTORA DE INSUMOS AGROPECUARIOS SOMEX S.A.S.,2020,119476.21,99531.328,19944.882,6986.166,12056.886,1356.718,2352.299,821.337,73102.432,56894.486,16207.946,C1090 - Elaboración de alimentos preparados para animales,MEDELLIN-ANTIOQUIA,L,NUTRICION_SALES_GANADERAS
