Year,Pet_Care_Total_COP_Billion,Dog_Food_COP_Billion,Cat_Food_COP_Billion,Pet_Products_Higiene_COP_Billion,Other_Pet_Food_COP_Billion,Dog_Food_Volume_Tonnes,Cat_Food_Volume_Tonnes,Other_Pet_Food_Volume_Tonnes
2021,4589.1,2450.0,1120.0,950.0,69.1,410000,98000,1850
2022,5644.2,3010.0,1420.0,1140.0,74.2,432000,109000,1900
2023,6688.1,3550.0,1750.0,1310.0,78.1,448000,121000,1960
2024,7028.4,3720.0,1890.0,1340.0,78.4,452000,126000,1980
2025,7603.9,4093.0,2150.0,1280.0,80.9,449800,130700,2000
2026,8298.7,4298.0,2516.0,1392.0,92.7,440814,142502,2024
2027,9045.6,4640.0,2940.0,1370.0,95.6,445000,155000,2050
2028,9860.0,5010.0,3440.0,1310.0,100.0,450000,169000,2080
2029,10747.4,5410.0,4020.0,1210.0,107.4,455000,184000,2110
2030,11714.7,5840.0,4700.0,1060.0,114.7,460000,200000,2140
2031,12768.0,6310.0,5500.0,830.0,128.0,466000,218000,2180
