0,1,2,3,4,5,6,7,8,9
Western Europe,Acidulants,Pet Care,% Breakdown,02,02,02,02,02,02
Western Europe,Acidulants,Pet Care,Tonnes,97.312,99.274,100.162,100.004,100.216,100.675
Western Europe,Acetic Acid,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Acetic Acid,Pet Care,Tonnes,2.128,2.127,2.120,2.086,2.039,2.019
Western Europe,Citric Acid,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Citric Acid,Pet Care,Tonnes,5.465,5.543,5.581,5.552,5.522,5.506
Western Europe,Lactic Acid,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Lactic Acid,Pet Care,Tonnes,4.003,4.093,4.154,4.168,4.187,4.200
Western Europe,Malic Acid,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Malic Acid,Pet Care,Tonnes,349,364,374,384,394,404
Western Europe,Phosphoric Acid,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Phosphoric Acid,Pet Care,Tonnes,3.382,3.425,3.434,3.411,3.411,3.429
Western Europe,Other Acidulants,Pet Care,% Breakdown,01,01,01,01,01,01
Western Europe,Other Acidulants,Pet Care,Tonnes,81.986,83.723,84.498,84.404,84.663,85.116
Western Europe,Botanicals,Pet Care,% Breakdown,02,02,02,02,02,02
Western Europe,Botanicals,Pet Care,Tonnes,137.185,139.657,140.729,140.325,140.457,140.935
Western Europe,Essential Oils,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Essential Oils,Pet Care,Tonnes,443,459,470,472,468,456
Western Europe,Flowers,Pet Care,% Breakdown,01,01,01,01,01,01
Western Europe,Flowers,Pet Care,Tonnes,33.548,34.086,34.244,34.107,34.151,34.265
Western Europe,Plant Extracts,Pet Care,% Breakdown,01,01,01,01,01,01
Western Europe,Plant Extracts,Pet Care,Tonnes,45.885,46.753,47.200,47.106,47.210,47.438
Western Europe,Roots,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Roots,Pet Care,Tonnes,21.768,22.169,22.360,22.300,22.279,22.348
Western Europe,Other Botanicals,Pet Care,% Breakdown,01,01,01,01,01,01
Western Europe,Other Botanicals,Pet Care,Tonnes,35.541,36.192,36.455,36.341,36.348,36.428
Western Europe,Carotenoids,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Carotenoids,Pet Care,Tonnes,13.691,13.966,14.126,14.123,14.138,14.180
Western Europe,Beta-Carotene,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Beta-Carotene,Pet Care,Tonnes,2.545,2.616,2.662,2.682,2.724,2.780
Western Europe,Lutein,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Lutein,Pet Care,Tonnes,1.733,1.763,1.772,1.768,1.753,1.754
Western Europe,Lycopene,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Lycopene,Pet Care,Tonnes,6.700,6.797,6.844,6.814,6.824,6.846
Western Europe,Other Carotenoids,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Other Carotenoids,Pet Care,Tonnes,2.712,2.790,2.848,2.859,2.837,2.800
Western Europe,Cocoa Powder,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Cocoa Powder,Pet Care,Tonnes,280,295,304,310,309,310
Western Europe,Colours,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Colours,Pet Care,Tonnes,9.673,9.878,9.978,10.001,10.080,10.190
Western Europe,Natural Colours,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Natural Colours,Pet Care,Tonnes,05,05,05,05,05,05
Western Europe,Synthetic Colours,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Synthetic Colours,Pet Care,Tonnes,00,00,00,00,00,00
Western Europe,Other Colours,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Other Colours,Pet Care,Tonnes,9.668,9.873,9.973,9.996,10.075,10.185
Western Europe,Cultures,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Cultures,Pet Care,Tonnes,8.063,8.236,8.342,8.372,8.434,8.525
Western Europe,Bread and Bakery Cultures,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Bread and Bakery Cultures,Pet Care,Tonnes,946,973,991,1.003,1.003,991
Western Europe,Dairy Cultures,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Dairy Cultures,Pet Care,Tonnes,284,313,331,343,377,418
Western Europe,Meat Cultures,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Meat Cultures,Pet Care,Tonnes,71,71,71,70,70,70
Western Europe,Pet Food Cultures,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Pet Food Cultures,Pet Care,Tonnes,1.130,1.162,1.178,1.190,1.189,1.193
Western Europe,Other Cultures,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Other Cultures,Pet Care,Tonnes,5.633,5.717,5.771,5.766,5.794,5.853
Western Europe,Emollients,Pet Care,% Breakdown,02,02,02,02,02,02
Western Europe,Emollients,Pet Care,Tonnes,95.722,97.793,98.904,98.913,99.168,99.704
Western Europe,Emollient Esters,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Emollient Esters,Pet Care,Tonnes,123,163,193,225,272,330
Western Europe,Plant Oils,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Plant Oils,Pet Care,Tonnes,18.259,18.630,18.809,18.806,18.850,18.942
Western Europe,Other Emollients,Pet Care,% Breakdown,01,01,01,01,01,01
Western Europe,Other Emollients,Pet Care,Tonnes,77.340,79.000,79.901,79.882,80.046,80.432
Western Europe,Emulsifiers and Co-Emulsifiers,Pet Care,% Breakdown,01,01,01,01,01,01
