Reg_ICA,Titular,Estado,Producto,Activos,Cantidades,Indicaciones,Precauciones,Laboratorio_Productor,Pais_Origen,Importador,Empaques,Especies,Tiempo_Retiro,Tipo_Medicamento,Estado_Clean,Origen_Clasif
103-DB,INDUSTRIAS MARAVEDI CIA LTDA,VIGENTE,TINTURA DE YODO,"Cada 100 mililitros contienten:

Yodo
Yoduro de potasio","
2 g.
2,4 g.",Antiséptico de uso externo.,Uso veterinario. Manténgase fuera del alcance de los niños. ,NOVALFARM LTDA.,Colombia.,No aplica.,Frasco plástico en PEAD color café con válvula atomizadora por 120 mL. Frasco plástico en PEAD por 120 mL. Frasco de vidrio ámbar tipo lll por 120 mL. Frasco plástico en PEAD color café por 500 mL.,No aplica.,No aplica.,Antisépticos,VIGENTE,COLOMBIA (Fabricado Nacional)
141-DB,LABORATORIOS INDUSTRIALES FARMACEUTICOS ECUATORIANOS ¨LIFE¨,VIGENTE,ETEROL,"_x000D_
Cada 100 ml de solución contiene:_x000D_
_x000D_
Fenol_x000D_
Violeta de genciana_x000D_
","
1,0 g
0,4 g","Antiséptico de uso externo. Antisepsia de ombligo, heridas quirúrgicas y por corte, marcaje y descorne..","Uso veterinario. Manténgase fuera del alcance de los niños. Producto inflamable, no perfore, ni incinere el envase.",No informa.,Ecuador.,PROCONVET S.A.,"Zonospray por 300 mL: tarro cilíndrico de aluminio 99.7%, con barniz interior epóxico provisto de válvula de aspersión y tapa de polietileno por 300 ml. Envase secundario en funda de polietileno de baja desnsidad.                                                   Zonospray por 200 ml: Tarro cilíndrico de aluminio 99.7% con barniz interior epóxico provisto de válvula de aspersión y tapa de polietileno por 200 ml. Envase secundario en funda de polietileno de baja desnsidad.                                                  Rociador por 500 mL:Frasco de polietileno/PVC por 500 ml, con dispensador tipo pistola de polipropileno, vástago y válvula de polietileno.
Frasco en PEAD por 1 galón, con tapa rosca y sello de seguridad de polietileno de alta densidad.",No informa.,No informa,Antisépticos,VIGENTE,EXTRANJERO (Importado)
201-DB,SCHERING PLOUGH S.A.,VIGENTE,BALSAMO TEREBENE,"_x000D_
Acido cresilico_x000D_
","_x000D_
2 % p/p",Antoséptico uso externo ,Uso veterinario. Manténgase fuera del alcance de los niños.,No informa.,No informa.,No informa.,Frascos por 240 ml.,No informa.,No informa,Antisépticos,VIGENTE,EXTRANJERO (Importado)
228-DB,INDUSTRIA MARAVEDI CIA,VIGENTE,JABÓN ICTIOL,"Cada 100 g. de pasta contienen:

Azufre","

1 g.",Jabón antiséptico de uso externo.,Uso veterinario. Manténgase fuera del alcance de los niños y animales domésticos,ARJONA S.A.S.,Colombia.,No aplica.,Pasta 60 g empacada en caja de cartón.,No informa.,No aplica.,Antisépticos,VIGENTE,COLOMBIA (Fabricado Nacional)
549-DB,TECNOQUÍMICAS S.A.,VIGENTE,VETERBIÓTICO,"
Cada  mL. de producto reconstituido contiene:

Penicilina G potásica a cristalina 
Penicilina G procaínica  cristaliana
","


100.000 U.l
300.000 U.l","En bovinos, equinos, porcinos, ovinos y caninos  para el tratamiento de infecciones producidas por Staphylococcus sp., Streptococcus sp., Bacillus anthracis, Erysipeloythrix sp., Corynebacterium sp., Clostridium sp., Fusobacterium sp., listeria sp., Nocardia sp., Actinomyces sp., Actinobacillus sp., Leptospira sp.",Uso veterinario. Manténgase fuera del alcance de los niños. Venta bajo formula del Médico Veterinario. Los animales tratados no deben sacrificarse para consumo humano hasta 10 días después de finalizado el tratamiento. La leche producida durante el tratamiento y 72 horas después de finalizado el mismo no debe darse al consumo humano. Almacenar a temperatura inferior a 30°c. Una vez reconstituido el producto debe utilizarse en su totalidad.,VITROFARMA S.A,Colombia.,No aplica.,"Frasco ampolla de vidrio transparente tipo III por 4.000.000Ul de penicilinas totales y 1 ampolla en PEBD con agua estéril po 10 mL._x000D_
Frasco ampolla de vidrio ámbar por 8.000.000 Ul de penicilinas totales y 2 ampolas en PEBD con agua estéril cada una por 10 mL","Bovinos, Equinos, Porcinos, Ovinos y Caninos","Carne: 10 días_x000D_
Leche: 72 horas",,VIGENTE,COLOMBIA (Fabricado Nacional)
817-DB,LABORATORIOS ZOO LTDA,VIGENTE,ZOOBIOTICO,"_x000D_
Cada ml contiene:_x000D_
_x000D_
Oxitretaciclina clorhidrato","_x000D_
_x000D_
_x000D_
50 mg","En bovinos, equinos, porcinos, ovinos, caprinos, caninos y gatos para el tratamiento de infecciones producidas por Anaplasma sp., Rickettsia sp., Streptococcus sp., Clostridium sp., Escherichia coli, Pasteurella sp., Haemophilus sp., Leptospira sp., Campylobacter sp., y Listeria sp.",Los animales tratados no deben sacrificarse para consumo humano hasta 21 días después de finalizado el tratamiento. La leche producida durante el tratamiento y 7 días después de finalizado el mismo no debe darse al consumo humano. Venta por prescripción del Médico Veterinario. Manténgase fuera del alcance de los niños. Uso veterinario.,No informa.,No informa.,No informa.,"Frascos por 10, 20, 30, 50, 100, 500 y 1000 mL","Bovinos, equinos, Porcinos, ovinos, caprinos, Caninos y gatos.","Carne: 21 días_x000D_
Leche: 168 horas ",Minerales,VIGENTE,EXTRANJERO (Importado)
935-DB,LABORATORIO LAVERLAM S.A.,VIGENTE,COMBIBAC,"
Cada dosis de 5 mL. de bacterina antes de inactivar contiene:

Clostridium chauvoei
Clostridium septicum
Pasteurella multocida","



1.5 X 10
2.5 Ul de antitoxina
2.5 x 10","Para la inmunización activa de bovinos y ovinos en buen estado de salud contra: Carbón sintomático, gangrena gaseosa o edema maligno y fiebre de embarque o pasteurelosis neumónica causada por Pasteurella multocida",Almacenra entre 3 y 7 °C. Uso veterinario. Mantener fuera del alcance de los niños.,No informa.,No informa.,No informa.,"Frascos en PEAD por 50, 100 y 300 mL con 10, 20 y 50 dosis respectivamente.",Bovinos y Ovinos,No informa,Otros,VIGENTE,EXTRANJERO (Importado)
1029-DB,ROPSOHN LABORATORIOS S.A.S,VIGENTE,DILARVON ORAL,"Cada 100 mL de solución oral contienen:_x000D_
_x000D_
Clorhidrato de Levamisol","

3.2 g.","En bovinos, ovinos y caprinos para el control de parasitismo gastrointestinal y pulmonar ocasionado por los siguientes parásitos: Oesophagostomum sp., Bunostomum sp., Haemonchus sp., Ostertagia sp., Trichostrongylus sp., Cooperia sp., Nematodirus sp., Chabertia sp., Strongyloides sp. y parasito pulmonar Dictyocaulus sp. En porcinos para el control de parasitismo ocasionado por: Ascaris sp., Strongyloides sp., Hyostrongylus sp., Oesophagostomum sp. y parasitosis pulmonares causadas por  Metastrongylus sp.","Los animales tratados no deben ser sacrificados para consumo humano hasta 3 días después de finalizado el tratamiento. La leche producida durante el tratamiento y 24 horas después de finalizado el mismo, no debe darse al consumo humano. Uso Veterinario. Manténgase fuera del alcance de los niños. Almacenar a temperatura no mayor a 30°C y protegido de la luz.

",Ropsohn Laboratorios S.A.S..,Colombia.,No aplica.,Almohadillas en PVC por 30 mL. Caja por 70 almohadillas en PVC de 30 mL. Sachet tetralaminado (Poliéster -PEBD-Aluminio Nylon) por 30 mL. Caja por 70 sachets tetralaminados (Poliéster -PEBD-Aluminio-Nylon) por 30 mL. Garrafa en PEAD por 1 L y por Galón.,"Bovinos, Ovinos,  Caprinos y Porcinos","Carne: 3 días_x000D_
Leche: 24 horas ",Desinfectantes,VIGENTE,COLOMBIA (Fabricado Nacional)
1186-DB,LABORATORIOS ZOO S.A.S.,VIGENTE,CANIBIOTICO CAPSULAS,"Cada cápsula contiene:_x000D_
_x000D_
Ampicilina (como ampicilina trihidrato)","_x000D_
_x000D_
250 mg.","En caninos y felinos para el tratamiento de enfermedades producidas por: Staphylococcus sp., Streptococcus sp., Corynebacterium sp., Pasteurella sp., salmonella sp., Klebsiella sp., Shigella sp., Haemophilus sp.,   Proteus sp.","Venta bajo formula del Médico Veterinario. Uso Veterinario. Manténgase fuera del alcance de los niños. Consérvese en un lugar fresco, seco y protegido de la luz, a temperatura inferior a 30°C.",Genmed S.A.,Colombia.,No aplica.,"Blíster con película transparente en PVC por 10 Cápsulas, contenidas en caja plegadiza por un blíster.",Caninos y Felinos,No aplica.,Antibióticos,VIGENTE,COLOMBIA (Fabricado Nacional)
1347-DB,LABORATORIOS ERMA S.A.,VIGENTE,JABON PIOJIDERMA,"Cada pasta contiene:

Ictiol",0.05,Jabón antiséptico para caninos.,Manténgase fuera del alcance de los niños.  Uso Veterinario.,No informa.,No informa.,No informa.,Pastas por 70 g. empacadas en cajas de cartón.,Caninos,No aplica.,Diuréticos,VIGENTE,EXTRANJERO (Importado)
