Razon_Social,Resolucion_ICA,Fecha_Expedicion,Alcance_Registro_ICA,Vigencia,NIT,Ciudad_Sede,Linea_Cannabis
ADN VITAL S.A.S.,00004991,2023-05-04,"Otorgar registro como productor de preparaciones magistrales de uso veterinario de medicamentos no estériles: sólidos (tabletas, capsulas, polvos), líquidos (soluciones, suspensiones, emulsiones) y semisólidos (cremas, geles, ungüentos, pastas); oncológicos y antibióticos, a la empresa ADN VITAL S.A.S. identificada con NIT 901280805-0, con dirección de notificación judicial y domicilio principal en la Calle 93 No. 57 – 20 en Bogotá, D.C., y planta de producción en esta misma dirección Calle 93 No. 57 – 20 en Bogotá, D.C., por las razones expuestas en la parte motiva de la
presente providencia.",5 AÑOS,901280805-0,Bogotá D.C.,No (Comunes / Oncológicos / Nutrición)
BIO VIE S.A.S.,12634,2022-07-13,"Por medio de la cual se otorga el registro a la compañía BIO VIE S.A.S., como empresa elaboradora de preparaciones magistrales de uso veterinario (Soluciones orales: comunes y con base en Cannabis).",5 AÑOS,No reporta,No especificada,Sí (Derivados de Cannabis)
CANNABIAN PHARMA S.A.S.,05590,2022-04-07,"Por medio de la cual se otorga el registro a la compañía CANNABIAN PHARMA S.A.S., como empresa elaboradora de preparaciones magistrales derivadas de Cannabis (soluciones orales) de uso veterinario.",5 AÑOS,No reporta,No especificada,Sí (Derivados de Cannabis)
EMCOMAG S.A.S,00005682,2024-06-13,Por medio de la cual  se otorga el registro  como productor de preparaciones magistrales de uso veterinario a la empresa EMCOMAG S.A.S,5 AÑOS,No reporta,No especificada,No (Comunes / Oncológicos / Nutrición)
ENDOPET S.A.S.,16158,2023-11-22,"Otorgar el registro como productor de preparaciones magistrales de uso veterinario (soluciones no estériles, no acuosas con base en cannabis) a la empresa ENDOPET S.A.S. identificada con NIT 901611075-2 y Matrícula Mercantil 03552282, con dirección de notificación judicial y planta de producción en la calle 63 C N°. 27A-10, en Bogotá D.C., según Certificado de Cámara de Comercio de Bogotá, expedido el 2 de noviembre de 2023",5 AÑOS,901611075-2,Bogotá D.C.,Sí (Derivados de Cannabis)
INVERSIONES ALIANZA EYM S.A.S.,00000619,2024-01-23,"“Por medio de la cual se otorga el registro como productor de preparaciones magistrales no estériles de uso veterinario a la empresa INVERSIONES ALIANZA EYM S.A.S.""",5 AÑOS,No reporta,No especificada,No (Comunes / Oncológicos / Nutrición)
MAGISTRALES VETERINARIOS S.A.,00020401,2022-10-18,"Otorgar registro como productor de preparaciones magistrales de uso veterinario medicamentos no estériles: (solidos (tabletas, capsulas), líquidos (soluciones, suspensiones), semisólidos (cremas, geles, ungüentos, pastas); medicamentos estériles: líquidos (soluciones), semisólidos (ungüentos oftálmicos); oncológicos, hormonales.) a la empresa MAGISTRALES VETERINARIOS S.A. identificada con NIT 900618527-8, con dirección de notificación judicial y domicilio principal en la Finca Santa Rosa Vereda Cerca de Piedra Variante Chía-Cota kilómetro 2, en Chía - Cundinamarca, y planta de producción en esta misma dirección Finca Santa Rosa Vereda Cerca de Piedra Variante Chía-Cota kilómetro 2, Chía - Cundinamarca, por las razones expuestas en la parte motiva de la presente providencia.",5 AÑOS,900618527-8,Chía (Cundinamarca),No (Comunes / Oncológicos / Nutrición)
MEDICAL PRECISION CARE S.A.S.,166008,2023-11-21,"Otorgar el registro como productor de preparaciones magistrales de uso veterinario (soluciones no estériles con base en cannabis) a la empresa MEDICAL PRECISION CARE. MEDICINA PERSONALIZADA DE PRECISIÓN S.A.S. identificada con NIT 901277043-4 y Matrícula Mercantil 05-430726-16, con dirección de notificación judicial y planta de producción en la calle 11 N°. 10-99 local 1, en Piedecuesta - Santander, según Certificado de Cámara de Comercio de Bucaramanga, expedido el 8 de noviembre de 2023,",5 AÑOS,901277043-4,Bucaramanga (Santander),Sí (Derivados de Cannabis)
PHARMAZOO S.A.S,17001,2022-09-05,"Por medio de la cual se otorga el registro a la empresa PHARMAZOO S.A.S., como empresa productora de preparaciones magistrales de uso veterinario.",5 AÑOS,No reporta,No especificada,No (Comunes / Oncológicos / Nutrición)
UNIDOSSIS S.A.S.,06757,2022-04-27,"Por medio de la cual se otorga el registro a la empresa UNIDOSSIS S.A.S., sede Bogotá, como empresa elaboradora de preparaciones magistrales (soluciones estériles: (incluyendo oncológicos y nutriciones parenterales “NPT”) y (soluciones oncológicas no estériles) de uso veterinario.",5 AÑOS,No reporta,Bogotá D.C.,No (Comunes / Oncológicos / Nutrición)
UNIDOSSIS SANTANDER S.A.S.,12572,2023-09-26,"Otorgar el registro como productor de preparaciones magistrales de uso veterinario (soluciones estériles (incluyendo oncológicos) y nutriciones parenterales NPT) a la empresa UNIDOSSIS SANTANDER S.A.S. identificada con NIT 900459190-7 y Matrícula Mercantil 05-214694-16, con dirección de notificación judicial en la carrera 26 # 41 - 62 en Bucaramanga-Santander, según Certificado de Cámara de Comercio de Bucaramanga, expedido el 13 de diciembre de 2022, y planta de producción en la calle 48 N°25-56 en la ciudad de BucaramangaSantander, por las razones expuestas en la parte motiva de la presente Resolución.",5 AÑOS,900459190-7,Bucaramanga (Santander),No (Comunes / Oncológicos / Nutrición)
VITAL GREEN PRODUCTS S.A.S.,00009997,2025-07-15,Por medio de la cual se otorga el registro como productor de preparaciones magistrales de uso veterinario (preparciones liquidas con base en cannabis) a la empresa VITAL GREEN PRODUCTS S.A.S.,5 AÑOS,No reporta,No especificada,Sí (Derivados de Cannabis)
