tipo_documento,numero_documento,raz_n_social,pa_s,departamento_estado,ciudad,direcci_n,tel_fono,p_gina_web,correo_electr_nico,fuente_origen_del_dato,enlace_origen_del_dato,presta_de_tercero,portal_transaccional,nombre_de_la_prueba,descripci_n,documento_de_referencia,m_todo,fecha_de_actualizaci_n_de,acreditaci_n_vigente,equipos,tiempo_de_duraci_n_de_la
nit,830115051-1,Laboratorio ALLCHEM COMPAÑIA LIMITADA,Colombia,Bogotá D.C.,Bogotá D.C.,Transversal 39  # 20 A 72,7450682,www.allchem.com.co,gerencia@allchem.com.co,No Aplica,No Aplica,No Aplica,No Aplica,Determinación de acidez en grasas y aceites vegetales por volumetria,A las muestras objeto de análisis una vez pesadas  se les realiza extracción  con alcohol neutralizado y se titula con Hidróxido de sodio con indicador de fenoftaleina. Se calculan los miliequivalentes de soda empleados en la titulación y se expresa en concentración del ácido graso respectivo.,No Aplica,NTC 218:2011,2023/04/22 00:02:40.000,0,No Aplica,48
nit,900195344-1,Marquimica S.A.S,Colombia,Bogotá D.C.,Bogotá D.C.,Calle 134 D # 52 A 26,6159504,No Reporta,marquimica.control@outlook.com,No Aplica,No Aplica,No Aplica,No Aplica,Identificación iones-metales,Determinar la presencia de iones-metales en materia prima,No Aplica,CAPÍTULOS GENERALES PRUEBAS Y VALORACIONES GENERALES PRUEBAS Y VALORACIONES QUÍMICAS〈204〉 A 〈300〉 PR,2023/04/22 00:02:40.000,0,No Aplica,1
nit,899999063-3,Universidad Nacional de Colombia,Colombia,Bogotá D.C.,Bogotá D.C.,Carrera 45  # 26 - 85,6013165000,www.unal.edu.co,dnil@unal.edu.co,No Aplica,No Aplica,No Aplica,No Aplica,Identificación bacteriana de Listeria monocytogenes mediante sistema automatizado VITEK® 2 Compact bioMérieux. AOAC Official Method 2012.02 (2012-2016),"La técnica se basa en métodos bioquímicos establecidos y sustratos recientemente desarrollados para medir la utilización de la fuente de carbono, las actividades enzimáticas y la resistencia.",No Aplica,Identificación bacteriana automatizada.,2023/04/22 00:02:40.000,0,No Aplica,72
nit,900069721-4,agroambiente2015eat,Colombia,Bogotá D.C.,Bogotá D.C.,Calle 79 b # 70 D 38 bonanza,6013004181,http://agroambienteeat.com/,administracion@agroambienteeat.com,No Aplica,No Aplica,No Aplica,No Aplica,Identificación y cuantificación de Saccharomyces spp.,"-	Seguir el instructivo Preparación de diluciones IN-GT-017.
-	Preparar  las diluciones hasta (dilución 10-9). Puede ir más  o menos diluciones según las especificaciones del producto.
-	Pipetear 0,100 ml de las diluciones del ejemplo (10-7, 10-8, 10-9).
-	Inocular por duplicado para cada análisis en las cajas de Petri de Agar  PDA o SAB. Previamente marcadas las cajas de Agar PDA o SAB  con los datos del recuento que requiere el producto, Ejemplo: (10-7, 10-8, 10-9).
-	Homogenizar la muestra con el rastrillo en cada caja, en el orden de dilución más diluida a la más concentrada. Ejemplo: (10-9, 10-8, 10-7).
-	Envolver en vinipell las cajas de petri.
-	Incubar las cajas de Agar PDA o SAB, en la incubadora de hongos a 26°C (+/-2°C) por 5 a 7 días.
-	Realizar los recuentos después de  pasar el tiempo de incubación.",No Aplica,Identificación y cuantificación de Saccharomyces spp.,2023/04/22 00:02:40.000,0,No Aplica,48
nit,899999063-3,Universidad Nacional de Colombia,Colombia,Bogotá D.C.,Bogotá D.C.,Carrera 45  # 26 - 85,6013165000,www.unal.edu.co,dnil@unal.edu.co,No Aplica,No Aplica,No Aplica,No Aplica,Identificación bacteriana de Listeria monocytogenes mediante sistema automatizado VITEK® 2 Compact bioMérieux. AOAC Official Method 2012.02 (2012-2016),"La técnica se basa en métodos bioquímicos establecidos y sustratos recientemente desarrollados para medir la utilización de la fuente de carbono, las actividades enzimáticas y la resistencia.",No Aplica,Identificación bacteriana automatizada.,2023/04/22 00:02:40.000,0,No Aplica,72
nit,830005407-8,ANÁLISIS QUÍMICO Y MICROBIOLÓGICO AQM S.A.S,Colombia,Bogotá D.C.,Bogotá D.C.,Carrera 65 A # 18 A 23,4848800,AQM.COM.CO,calidad@aqm.com.co,No Aplica,No Aplica,No Aplica,No Aplica,Recuento de Enterobacterias,"Cualitativa: Pesar 10 g de muestra, preincubar a 32,5°C +/- 2,5°C de 18-24 horas. Realizar pase a caldo Mossel para enriquecimiento de enterobacterias, Incubar de 30-35° C +/- 2.5°C por 24-48 horas, Luego de la incubación sembrar en superficie en cajas con agar violeta rojo bilis glucosa VRBG). Invertir e incubar de 30-35°C +/- 2.5°C por 18 -24 horas, Hacer coloración de Gram a las colonias representativas para verificar la presencia de bacilos Gram negativos, Realizar controles positivos sembrando E. coli directamente sobre el agar violeta rojo bilis glucosa y controles negativos sembrando en superficie del medio una asada del caldo TSB

Cuantitativa: Pesar 10 g de muestra, preincubar a 32,5°C +/- 2,5°C de 18-24 horas. Después de la incubación transferir un volumen equivalente a 0.1g; 0.01g y 0.001g (o 0.1mL; 0.01mL y 0.001mL) del producto a examinar a caldo Mossel para enriquecimiento de enterobacterias, Luego de la incubación sembrar en superficie en cajas con agar violeta rojo bilis glucosa VRBG). Invertir e incubar de 30-35°C +/- 2.5°C por 18 -24 horas, Hacer coloración de Gram a las colonias representativas para verificar la presencia de bacilos Gram negativos, Realizar controles positivos sembrando E. coli directamente sobre el agar violeta rojo bilis glucosa y controles negativos sembrando en superficie del medio una asada del caldo TSB, registrar resultados de acuerdo a cuadro de diluciones.",No Aplica,Farmacopea vigente y/o Especificaciones clientes y/o Certificado proveedor,2023/04/22 00:02:40.000,0,No Aplica,120
nit,800194600-3,Corporación Colombiana de Investigación Agropecuaria AGROSAVIA,Colombia,Cundinamarca,Mosquera,Carrera 13 A # 28  38 Oficina218,4227300,https://www.agrosavia.co/,atencionalcliente@agrosavia.co,No Aplica,No Aplica,No Aplica,No Aplica,Determinación de la concentración del principio activo de bioplaguicidas a base del Nucleopoliedrovirus de Spodoptera frugiperda,"La determinación de la concentración del principio activo de bioplaguicidas a base del Nucleopoliedrovirus de Spodoptera frugiperda, mediante el uso de la cámara de Neubauer, se basa en el conteo de cuerpos de inclusión (CI) contenidos en un volumen definido. Para ello, el número promedio de CI contados en la cámara se multiplica por el inverso de la dilución empleada para el conteo y por el factor de la cámara (16 x 104, dado por el número de cuadrados del conteo y por el volumen de esta). El resultado debe expresarse como cuerpos de inclusión por gramo, si la muestra es sólida, o por mililitro, si la muestra es líquida.",No Aplica,Método propio: GA-R-160,2023/04/22 00:02:40.000,0,No Aplica,1
nit,800194600-3,Corporación Colombiana de Investigación Agropecuaria AGROSAVIA,Colombia,Cundinamarca,Mosquera,Carrera 13 A # 28  38 Oficina218,4227300,https://www.agrosavia.co/,atencionalcliente@agrosavia.co,No Aplica,No Aplica,No Aplica,No Aplica,Determinación de la concentración del principio activo de bioplaguicidas a base del Nucleopoliedrovirus de Spodoptera frugiperda,"La determinación de la concentración del principio activo de bioplaguicidas a base del Nucleopoliedrovirus de Spodoptera frugiperda, mediante el uso de la cámara de Neubauer, se basa en el conteo de cuerpos de inclusión (CI) contenidos en un volumen definido. Para ello, el número promedio de CI contados en la cámara se multiplica por el inverso de la dilución empleada para el conteo y por el factor de la cámara (16 x 104, dado por el número de cuadrados del conteo y por el volumen de esta). El resultado debe expresarse como cuerpos de inclusión por gramo, si la muestra es sólida, o por mililitro, si la muestra es líquida.",No Aplica,Método propio: GA-R-160,2023/04/22 00:02:40.000,0,No Aplica,1
nit,900361697-6,UNIPHOS COLOMBIA PLANT LIMITED,Colombia,Atlántico,Barranquilla,Carrera 82  # 85  85,573183440090,WWW.UPL-LTD.COM,dayana.pulido@upl-ltd.com,No Aplica,No Aplica,No Aplica,No Aplica,Cuantificación de la Dispersión de gránulos dispersables y polvos mojables en agua por gravimetría,Dispersión en agua de gránulos dispersables y polvos mojables,No Aplica,Método CIPAC MT 174 “Dispersibilidad de gránulos dispersables en agua”,2023/04/22 00:02:40.000,0,No Aplica,1
nit,899999063-3,Universidad Nacional de Colombia,Colombia,Bogotá D.C.,Bogotá D.C.,Carrera 45  # 26 - 85,6013165000,www.unal.edu.co,dnil@unal.edu.co,No Aplica,No Aplica,No Aplica,No Aplica,Identificación bacteriana de Listeria monocytogenes mediante sistema automatizado VITEK® 2 Compact bioMérieux. AOAC Official Method 2012.02 (2012-2016),"La técnica se basa en métodos bioquímicos establecidos y sustratos recientemente desarrollados para medir la utilización de la fuente de carbono, las actividades enzimáticas y la resistencia.",No Aplica,Identificación bacteriana automatizada.,2023/04/22 00:02:40.000,0,No Aplica,72
