Reg_ICA,Titular,Estado,Producto,Activos,Cantidades,Indicaciones,Precauciones,Laboratorio_Productor,Pais_Origen,Importador,Empaques,Especies,Tiempo_Retiro,Tipo_Medicamento,Estado_Clean,Origen_Clasif
003-DB,ELANCO US INC,VIGENTE,CATOSAL CON VITAMINA B12,"Cada mL de solución inyectable contiene:

Butafosfán (Ácido 1-(n-butilamino)-metiletil-fosfónico)
(equivalente a 0,0173 gramos de ion Fósforo)
Vitamina B₁₂","

100 mg
0,05 mg","En bovinos, porcinos, equinos, ovinos, caprinos, perros, gatos y aves para el tratamiento de las deficiencias de fósforo y Vitamina B₁₂. Coadyuvante metabólico en el tratamiento de enfermedades de la reproducción y enfermedades metabólicas. En bovinos como coadyuvante en el tratamiento de la cetosis secundaria (en fiebre de leche, desplazamiento del abomaso).",Uso veterinario. Manténgase fuera del alcance de los niños y animales domésticos. Venta bajo fórmula del Médico Veterinario. No se han reportado efectos teratogénicos o similares. No administrar el producto a animales con hipersensibilidad conocida a los principios activos o excipientes. almacenar a temperatura inferior a 30°C. No congelar.,ARGENTA US MANUFACTURING LLC / KVP PHARMA + VETERINÄR PRODUKTE GmbH (semielaborador).,Estados Unidos / Alemania.,ELANCO COLOMBIA S.A.S.,"Caja plegadiza que contiene frasco en vidrio ámbar tipo ll con tapón de caucho en clorobutilo y sello de aluminio por 50, 100 o 250 mL.","Aves, Bovinos, Caninos, Caprinos, Equinos, Felinos, Ovinos y Porcinos.",No aplica.,Vitaminas y Minerales,VIGENTE,EXTRANJERO (Importado)
033-DB,GDI PHARMA S.A.S.,VIGENTE,VETALOG,"Cada mL de suspensión inyectable contiene:

Triamcinolona acetonida","

10 mg.","En bovinos, equinos, perros y gatos para el tratamiento de la cetosis bovina, condiciones inflamatorias no infecciosas de las articulaciones, tejidos relacionados y afecciones de la piel como eczema o prurito inespecífico y dermatosis alérgicas.","Los animales tratados no deben sacrificarse para el consumo humano hasta 5 días después de finalizado el tratamiento. No emplear en el último tercio de gestación ni en animales con tuberculosis o que presentan infecciones virales. En presencia de enfermedades infecciosas de origen bacteriano, deberá instituirse la terapia con el antimicrobiano adecuado. Mantener fuera del alcance de los niños. Uso Veterinario. Venta bajo fórmula del Médico Veterinario.",GDI PHARMA CENTRO S.A.S.,Colombia.,No aplica.,Frasco en vidrio ámbar tipo l por 10 mL.,"Bovinos, Caninos, Equinos y Felinos.",Carne: 5 días ,Corticoesteroides ,VIGENTE,COLOMBIA (Fabricado Nacional)
083-DB,CIBA GIEGY COLOMBIA S.A.,VIGENTE,SOLADEC ORAL ,"_x000D_
Cada ml contiene:_x000D_
_x000D_
Vitamina A_x000D_
Vitamina D3_x000D_
Vitamina E_x000D_
VItamina C_x000D_
","

50,000 U.l.
5,000 U.l.
50 U.l.
250 mg","En aves, cerdos, terneros y potros para el tratamiento de la hipovitaminosis o deficiencias de vitaminas A, D, E, y C. 
Otras indicaciones a criterio del Médico  Veterinario.",Uso veterinario. Manténgase fuera del alcance de los niños.,No informa.,Colombia.,No informa.,Frascos por 50 y 350 ml.,"Aves, Bobinos, Equinos y Porcinos.",No informa,Vitaminas y minerales,VIGENTE,COLOMBIA (Fabricado Nacional)
086-DB,CIBA GIEGY COLOMBIA S.A.,VIGENTE,RUBRAFER INYECTABLE,"_x000D_
Cada ml contiene:_x000D_
_x000D_
Hierro Elemental_x000D_
Vitamina B12_x000D_
","
100 mg
80 mcg", Tratamiento de anemia por deficiencia de hierro en los lechones y terneros lactantes.,Uso veterinario. Mnaténgase fuera del alcance de los niños ,No informa.,Colombia.,No informa.,Frascos por 10 y 50 mL,Bovinos y Porcinos.,No informa,Vitaminas y minerales,VIGENTE,COLOMBIA (Fabricado Nacional)
097-DB,TECNOQUÍMICAS S.A.,VIGENTE,GLUCONATO DE CALCIO MK,"
Gluconato de calcio (Equivalente 1,86 g. de Calcio)
",20 g,"En bovinos, equinos, ovinos, porcinos y caninos para el tratamiento de deficiencias metabólicas de Calcio. Otras indicaciones a criterio del Médico Veterinario.",Uso veterinario. Manténgase fuera del alcance de los niños,No informa.,Colombia.,No informa.,Frascos por 100 y 500 mL,"Bovinos,Caninos, Equinos, Ovinos y Porcinos.",No informa,Vitaminas y minerales,VIGENTE,COLOMBIA (Fabricado Nacional)
098-DB,TECNOQUÍMICAS S.A.,VIGENTE,CALCIO MK CON MAGNESIO FOSFORO Y DEXTROSA,"
Cada 100 ml contienen:

Gluconato de Calcio
Glicerolfosfato de magnesio
Glicerolfosfato de calcio
Dextrosa anhidra
(Calcio: 2,24 g, Fósforo: 0,67 g, Magnesio: 0.30 g)
","
20,0 g
2,4 g
2,0 g
15,0 g","En bovinos, equinos, porcinos y ovinos para el tratamiento de las deficiencias de calcio, fosforo y magnesio. Fiebre de leche raquitismo y osteomalacia.",Uso veterinario. Manténgase fuera del alcance de los niños.,No informa.,Colombia.,No informa.,Frascos por 500 mL,"Bovinos, Equinos, Ovinos y Porcinos.",No informa,Vitaminas y minerales,VIGENTE,COLOMBIA (Fabricado Nacional)
103-DB,INDUSTRIAS MARAVEDI CIA LTDA,VIGENTE,TINTURA DE YODO,"Cada 100 mililitros contienten:

Yodo
Yoduro de potasio","
2 g.
2,4 g.",Antiséptico de uso externo.,Uso veterinario. Manténgase fuera del alcance de los niños. ,NOVALFARM LTDA.,Colombia.,No aplica.,Frasco plástico en PEAD color café con válvula atomizadora por 120 mL. Frasco plástico en PEAD por 120 mL. Frasco de vidrio ámbar tipo lll por 120 mL. Frasco plástico en PEAD color café por 500 mL.,No aplica.,No aplica.,Antisépticos,VIGENTE,COLOMBIA (Fabricado Nacional)
106-DB,TECNOQUÍMICAS S.A.,VIGENTE,PENICILINA BENZATINICA Y PROCAINICA,"
Cada ml. del producto reconstituido contiene:

Penicilina G. Benzatínica
Penicilina G. Procaínica

","
120.000 Ul
120.000 Ul","En bovinos, equinos, caprinos, porcinos y caninos, para el tratamiento de infecciones producidas por: Streptococcus sp, Staphylococcus sp, Bacillus anthracis, Erysipeloythrix sp, Clostridium sp, Corynebacterium sp, Fusobacterium sp, Listeria sp, Nocardia sp, Leptospira sp, Actinomyces sp, Actinobacillus sp y Pneumococus sp.","Los animales tratados no deben sacrificarse para el consumo humano hasta 30 días siguientes a la finalización del tratamiento. La leche producida durante el tratamiento y 6 días después de finalizado el mismo, no debe darse al consumo humano. Uso veterinario. Mantener fuera del alcance de los niños. Venta por prescripción del Médico Veterinario.",No informa.,Colombia.,No informa.,"Frascos que contienen 1.5 millones de U.l. de Penicilna G. Benzatínica y 1.5 millones de U.l de penicilina Procaínica acompañados con solvente por 10 mL. Frascos que contienen 3 millones de U.l de penicilina G Benzatínica y 3 millones de U.l. de pecicilina G Pricaínica, acompañados con solvete por 20 mL.","Bovinos, Caninos, Caprinos, Equinos y Porcinos.","Los animales tratados no deben sacrificarse para el consumo humano hasta 30 días siguientes a la finalización del tratamiento. La leche producida durante el tratamiento y 6 días después de finalizado el mismo, no debe darse al consumo humano",Antibióticos,VIGENTE,COLOMBIA (Fabricado Nacional)
121-DB,LABORATORIOS ZOO S.A.S.,VIGENTE,ATROPINA ZOO INYECTABLE,"Cada 1 mL de solución inyectable contiene:_x000D_
_x000D_
Atropina sulfato","

1 mg"," 
En equinos, bovinos, ovinos, caprinos, porcinos, perros, gatos y aves para medicación preanestésica, anticolinérgico, antiespasmódico, antisecretorio, antídoto en intoxicaciones con insecticidas  organofosforados y carbamatos. ","Uso veterinario. Manténgase fuera del alcance de los niños y animales domésticos. Venta bajo fórmula del Médico Veterinario. Los animales tratados no deben sacrificarse para consumo humano hasta veintiocho (28) días después de finalizado el tratamiento. La leche producida durante el tratamiento y seis (6) días después de finalizado el mismo no debe destinarse para el consumo humano. No aplica.r en animales que presenten hipersensibilidad a fármacos anticolinérgicos, taquicardias  secundarias a tirotoxicosis o insuficiencia cardíaca, isquemia miocárdica, estado cardíaco inestable. No emplear en animales con adherencias en cristalino y córnea o con glaucoma de ángulo estrecho, sinequias (adherencias) entre el iris y el cristalino porque en la midriasis causada por la atropina, se bloquea el drenaje de los líquidos oculares por el conducto de Schlemm, provocando aumento de la presión intraocular. Usarse con extrema precaución en pacientes con neuropatía autonómica, enfermedad hepática o renal, pacientes geriátricos o pediátricos, hipertiroideos, hipertensos, insuficiencia cardiaca congestiva ICC, taquiarritmias, hipertrofia prostática o reflujo esofágico, en caballos debido al efecto reductor de la motilidad intestinal e inducir cólicos en equinos. Los siguientes medicamentos pueden potencializar la actividad o toxicidad de la Atropina: Amantadina, agentes anticolinérgicos, relajantes musculares anticolinérgicos, antihistamínicos (Ej, Difenhidramina), isopiramida, meperidina, fenotiazinas, procainamida, primidona, antidepresivos tricíclicos (Ej, Amitriptilina, clomipramina). La atropina puede agravar algunos signos observados en intoxicaciones con amitraz. Los corticosteroides (uso a largo plazo) pueden aumentar la presión intraocular, aumentar los niveles de digoxina sérica, antagonizar las acciones de la metoclopramida. Conservar dentro de su empaque, protegido de la luz, a una temperatura inferior a 30°C. ",LABORATORIOS S.F.C. LTDA . / LABORATORIOS ERMA S.A.,Colombia.,No aplica.,"Caja plegadiza que contiene frasco ámpula en vidrio ámbar tipo l con tapón de caucho en bromobutilo y 
agrafe en aluminio por 10 mL. 
Caja plegadiza que contiene frasco ámpula en vidrio ámbar tipo ll con tapón de caucho en bromobutilo y 
agrafe en aluminio por 50 mL.","Aves, Bovinos, Caninos, Caprinos, Equinos, Felinos, Ovinos y Porcinos.",No aplica.,Antibióticos,VIGENTE,COLOMBIA (Fabricado Nacional)
141-DB,LABORATORIOS INDUSTRIALES FARMACEUTICOS ECUATORIANOS ¨LIFE¨,VIGENTE,ETEROL,"_x000D_
Cada 100 ml de solución contiene:_x000D_
_x000D_
Fenol_x000D_
Violeta de genciana_x000D_
","
1,0 g
0,4 g","Antiséptico de uso externo. Antisepsia de ombligo, heridas quirúrgicas y por corte, marcaje y descorne..","Uso veterinario. Manténgase fuera del alcance de los niños. Producto inflamable, no perfore, ni incinere el envase.",No informa.,Ecuador.,PROCONVET S.A.,"Zonospray por 300 mL: tarro cilíndrico de aluminio 99.7%, con barniz interior epóxico provisto de válvula de aspersión y tapa de polietileno por 300 ml. Envase secundario en funda de polietileno de baja desnsidad.                                                   Zonospray por 200 ml: Tarro cilíndrico de aluminio 99.7% con barniz interior epóxico provisto de válvula de aspersión y tapa de polietileno por 200 ml. Envase secundario en funda de polietileno de baja desnsidad.                                                  Rociador por 500 mL:Frasco de polietileno/PVC por 500 ml, con dispensador tipo pistola de polipropileno, vástago y válvula de polietileno.
Frasco en PEAD por 1 galón, con tapa rosca y sello de seguridad de polietileno de alta densidad.",No informa.,No informa,Antisépticos,VIGENTE,EXTRANJERO (Importado)
