Reg_ICA,Titular,Estado,Producto,Activos,Cantidades,Indicaciones,Precauciones,Laboratorio_Productor,Pais_Origen,Importador,Empaques,Especies,Tiempo_Retiro,Tipo_Medicamento,Estado_Clean,Origen_Clasif
8400-MV,HEEL COLOMBIA LTDA,VIGENTE,ENGYSTOL AD US. VET. ,"Cada 5 mL de solución inyectable contienen:

Vincetoxicum hirundinaria D6
Vincetoxicum hirundinaria D10
Vincetoxicum hirundinaria D30
Cinis vincetoxici D30
Sulfur D4
Sulfur D10","

30 mg
30 mg
30 mg
5 mg
15 mg
15 mg","En equinos, bovinos, porcinos, ovinos, caninos y gatos como medicamento homeopático.  Indicaciones y posología a criterio del Médico Veterinario.","Uso Veterinario. Venta bajo fórmula del Médico Veterinario. Manténgase fuera del alcance de los niños. Conservar el producto protegido del calor, luz y humedad.  Almacenar a no más de 30°C.",BIOLOGISCHE HEILMITTEL HEEL GmbH,Alemania.,Heel Colombia Ltda.,"Ampolla incolora de vidrio borosilicato, tipo OPC (One Point Cut), clase hidrolítica I por 5 mL._x000D_
Caja plegadiza que contiene 1 o 5 ampollas incoloras de vidrio borosilicato, tipo OPC (One Point Cut), clase hidrolítica I por 5 mL.","Equinos, Bovinos, Porcinos, Ovinos, Caninos y  Felinos.",0 días.,Vitaminas,VIGENTE,EXTRANJERO (Importado)
8411-MV,HEEL COLOMBIA LTDA,VIGENTE,EUPHORBIUM COMPOSITUM AD US. VET.,"Cada ampolla de 5 mL contiene:

Pullsatilla pratensis D2
Luffa aperculata D6
Hydrargyrum biiodatum D6
Mucosa nasalis suis D8
Hepar sulfuris D10
Argentum nitricum D10
Sinusitis-nosode D13
Euphorbium D4","_x000D_
_x000D_
50 mg._x000D_
50 mg._x000D_
50 mg._x000D_
50 mg._x000D_
50 mg._x000D_
50 mg._x000D_
50 mg._x000D_
50 mg.","En equinos, bovinos, porcinos, ovinos, caninos y gatos como medicamento homeopático, Indicaciones y posología a criterio del Médico Veterinario",Venta bajo formula del Médico Veterinario. Manténgase fuera del alcance de los niños. Consérvese en lugar fresco (Almacenar a no más de 30°C) y seco protegido de la luz. Uso Veterinario,BIOLOGISCHE HEILMITTEL HEEL GMBH,Alemania.,HEEL COLOMBIA LTDA.,"Ampolla incolora en vidrio borosilicato, tipo OPC (One Point Cut) clase hidrolitica I por 5 mL. _x000D_
Caja plegadiza que contiene 1 o 5 ampollas incoloras de vidrio borosilicato, tipo OPC (One Point Cut) clase hidrolitica I por 5 mL.","Bovinos, Caninos, Equinos, Felinos, Ovinos y Porcinos.",No aplica.,Antibióticos,VIGENTE,EXTRANJERO (Importado)
8412-MV,HEEL COLOMBIA LTDA.,VIGENTE,TRAUMEEL LT AD US. VET.,"Cada 5 mL de solución inyectable contienen:

Aconitum napellus D4
Arnica montana D4
Atropa belladonna D4
Bellis perennis D4
Calendula officinalis D4
Matricaria recutita D5
Echinacea angustifolia D4
Echinacea purpurea e planta tota D4
Hamamelis virginiana D4
Hypericum perforatum D4
Achillea millefolium D5
Symphytum officinale D8
Hepar sulfuris D6
Mercurius solubilis Hahnemanni D8","


300 mg
500 mg
500 mg
250 mg
500 mg
500 mg
125 mg
125 mg
  50 mg
150 mg
500 mg
500 mg
500 mg
250 mg",A criterio del Médico Veterinario.,"Uso Veterinario. Venta bajo fórmula del Médico Veterinario. Manténgase fuera del alcance de los niños. Conservar el producto protegido del calor, luz y humedad.  Manténgase alejado de aparatos eléctricos o que emitan ondas electromagnéticas. Almacenar a no más de 30°C.",BIOLOGISCHE HEILMITTEL HEEL GMBH,Alemania.,HEEL COLOMBIA LTDA.,"Ampolla incolora de vidrio borosilicato, tipo OPC (One Point Cut), clase hidrolítica I por 5 mL._x000D_
Caja plegadiza que contiene 1 o 5 ampollas incoloras de vidrio borosilicato, tipo OPC (One Point Cut), clase hidrolítica I por 5 mL.","Bovinos, Caninos, Equinos, Felinos,  Ovinos y Porcinos.",No informa,Antisépticos,VIGENTE,EXTRANJERO (Importado)
8482-MV,HEEL COLOMBIA LTDA,VIGENTE,BERBEEL HOMACCORD AD US. VET.,"Cada ampolla de 5 mL contiene:

Berberis vulgaris D4
Berberis vulgaris D10
Berberis vulgaris D30
Berberis vulgaris D200
Citrullus colocynthis D4
Citrullus colocynthis D10
Citrullus colocynthis D30
Citrullus colocynthis D200
Veratrum album D5
Veratrum album D10
Veratrum album D30
Veratrum album D200","20 mg
20 mg
20 mg
20 mg
15 mg
15 mg
15 mg
15 mg
15 mg
15 mg
15 mg
15 mg",A criterio del Médico Veterinario.,"Venta bajo formula del Médico Veterinario. Manténgase fuera del alcance de los niños. Conservar el producto protegido del calor, luz y humedad. Almacenar a no mas de 30°C, Uso veterinario",BIOLOGISCHE HEILMITTEL HEEL GmbH.,Alemania.,HEEL COLOMBIA LTDA.,"Ampollas de vidrio de borosilicato, clase hidrolítica tipo I. OPC (One point cut) e incoloras por 5 mL. 
Caja que contiene 1 o 5 ampollas por 5 mL.","Bovinos, Caninos, Equinos, Felinos, Ovinos y Porcinos.",No aplica.,Endectocida,VIGENTE,EXTRANJERO (Importado)
8485-MV,HEEL COLOMBIA LTDA,VIGENTE,NUXEEL HOMACCORD AD US. VT.,"Cada ampolla de 5 mL. contiene:
Strychnos nux-vomica D 4
Strychnos nux-vomica D 10 
Strychnos nux-vomica D15 
Strychnos nux-vomica D 30
Strychnos nux-vomica D 200 
Strychnos nux-vomica D 1000
Bryonia D 4 
Bryonia D 6
Bryonia D 10 
Bryonia D 15
Bryonia D 30
Bryonia D 200
Bryonia D 1000
Lycopodium clavatum  D 5 
Lycopodium clavatum D 10
Lycopodium clavatum D 30
Lycopodium clavatum D 200
Lycopodium clavatum D 1000
Citrullus colocynthis D 5
Citrullus colocynthis D 10
Citrullus colocynthis D 30
Citrullus colocynthis D 200","10 mg.
10 mg.
10 mg.
10 mg.
10 mg.
10 mg.
10 mg.
10 mg.
10 mg.
10 mg.
10 mg.
10 mg.
10 mg.
15 mg.
15 mg.
15 mg.
15 mg.
15 mg.
15 mg.
15 mg.
15 mg.
15 mg.",A crityerio del Medico Veterinario,"Venta bajo formula del Medico Vtyerinario. Mantengase fuera del alcance de los niños. Conservar el producto protegido del calor, luz y humedad. Almacenar a no mas de 30°C, Uso veterinario",Biogische Helmittel Heel GmbH,Alemania.,Heel Colombia Ltda.,"Frasco de vidrio borosilicato, tipo OPC (One Point Cut) clase hidrolitica I por 5 mL. Caja que contiene 1, 5 y 50 ampollas por 5 mL.",,No informa,Endectocida,VIGENTE,EXTRANJERO (Importado)
8494-MV,HEEL COLOMBIA LTDA,VIGENTE,ZEEL AD US. VET.,"Cada 5 mL de solución inyectable contienen: 

Cartílago suis D6 
Funiculus umbilicalis suis D6 
Embryo suis D6 
Placenta suis D6 
Solanum dulcamara D3 
Nadidum D8 
Coenzymum A D8 
Sanguinaria canadensis D4 
Arnica montana D3 
Sulfur D6 
Natrium diethyloxalaceticum D8 
Acidum alpha-liponicum D8 
Rhus toxicodendron D2 ","

5 mg
5 mg
5 mg
5 mg
25 mg
25 mg
5 mg
5 mg
7.5 mg
50 mg
9 mg
5 mg
5 mg
25 mg","En equinos, bovinos, porcinos, ovinos, caninos y gatos como medicamento homeopático, indicaciones y posología a criterio del Médico Veterinario","Uso veterinario. Manténgase fuera del alcance de los niños. Venta bajo fórmula del Médico Veterinario. Consérvese en lugar fresco y seco a no más de 30 °C, protegido de la luz.",BIOLOGISCHE HEILMITTEL HEEL GMBH,Alemania.,Heel Colomba Ltda.,Caja plegadiza que contiene 1 o 5 ampollas incoloras de vidrio borosilicato tipo OPC (One Point Cut) clase hidrolítica I por 5 mL.," Bovinos, Caninos, Equinos, Felinos, Ovinos, Porcinos",No aplica.,Antiflogístico,VIGENTE,EXTRANJERO (Importado)
8517-MV,HEEL COLOMBIA LTDA.,VIGENTE,ECHINACEA COMPOSITUM AD US. VET.,"Cada 5 mL de solución inyectable contienen:

Echinacea angustifolia D3
Aconitum napellus D4
Sulfur D8
Lachesis mutus D10
Bryonia cretica D6
Hydrargyrum bichloratum D6
Phosphorus D8
Árnica montana D6","

500 mg
100 mg
100 mg
100 mg
100 mg
100 mg
100 mg
100 mg","En equinos, bovinos, porcinos, ovinos, perros y gatos como medicamento homeopático, indicaciones y posología a criterio del Médico Veterinario.","Uso veterinario. Manténgase fuera del alcance de los niños. Venta bajo fórmula del Médico Veterinario. Manténgase alejado de aparatos eléctricos o que emitan ondas electromgnéticas Conservar el producto protegido del calor, luz y humedad. Almacenar a no más de 30°C. ",BIOLOGISCHE HEILMITTEL HEEL GMBH.,Alemania.,HEEL COLOMBIA LTDA.,"Caja plegadiza que contiene 5 ampollas incoloras en vidrio de borosilicato, tipo OPC (one point cut) clase hidrolítica I por 5 mL. ","Bovinos, Caninos Equinos, Felinos, Ovinos y Porcinos.",No informa,Productos con categoría toxicológica,VIGENTE,EXTRANJERO (Importado)
8621-MV,HEEL COLOMBIA LTDA,VIGENTE,COENZYME COMPOSITUM AD US. VET.,"Cada ampolla de 5 mL contiene:_x000D_
Acidum ascorbicum D6_x000D_
Acidum alpha-ketoglutaricum D8_x000D_
Acidum cis-aconiticum D8_x000D_
Acidum citricum D8_x000D_
Acidum fumaricum D8_x000D_
Acidum DL malicum D8_x000D_
Acidum succinicum D8_x000D_
Adenosinum triphosphoricum D10_x000D_
Barium oxalsuccinicum D10_x000D_
Beta vulgaris var. conditiva D4_x000D_
Coenzymum A D8_x000D_
Cysteinum D6_x000D_
Hepar sulfuris D10_x000D_
Nadidum D8_x000D_
Natrium pyruvicum D8_x000D_
Nicotinamidum D6_x000D_
Pulsatilla pratensis D6_x000D_
Pyridoxinum hydrochloricum D6_x000D_
Natrium riboflavinum phosphoricum D6_x000D_
Sulfur D10_x000D_
Thiaminum hydrochloricum D6_x000D_
Acidum thiocticum D6_x000D_
Cerium oxalicum D8_x000D_
Magnesium oroticum D6_x000D_
Manganum phosphoricum D6_x000D_
Natrium diethyloxalaceticum D6_x000D_
_x000D_
","_x000D_
50 mg_x000D_
50 mg_x000D_
50 mg_x000D_
50 mg_x000D_
50 mg_x000D_
50 mg_x000D_
50 mg_x000D_
50 mg_x000D_
50 mg_x000D_
50 mg_x000D_
50 mg_x000D_
50 mg_x000D_
50 mg_x000D_
50 mg_x000D_
50 mg_x000D_
50 mg_x000D_
50 mg_x000D_
50 mg_x000D_
50 mg_x000D_
50 mg_x000D_
50 mg_x000D_
50 mg_x000D_
50 mg_x000D_
50 mg_x000D_
50 mg_x000D_
50 mg_x000D_
",A criterio del Médico Veterinario.,"Uso Veterinario. Manténgase fuera del alcance de los niños. Conservar el producto protegido del calor, luz y humedad. Almacenar a no más de 30°C. ",Biologische Heilmittel Heel GmbH,Alemania.,Heel Colombia Ltda.,Ampollas OPC (one point cut) de vidrio hidrolítico tipo I OPC incoloras de 5 mL.,"Bovinos, Caninos, Caprinos, Equinos, Felinos,Ovinos y Porcinos.",No informa,Biológicos,VIGENTE,EXTRANJERO (Importado)
8734-MV,HEEL COLOMBIA LTDA,VIGENTE,LACHESIS COMPOSITUM N AD US. VET.,"Cada ampolla de 5 mL contiene:

Lachesis mutus D6
Pyrogenium-Nosode D6
Juniperus sabina D3
Echinacea angustifolia D1
Pulsatilla pratensis D2","200 mg
200 mg
100 mg
100 mg
50 mg",A criterio del Médico Veterinario,Uso Veterinario. Venta bajo formula del Médico veterinario. Manténgase fuera del alcance de los niños. Consérvese en lugar fresco (almacenar a no más de 30°c) y seco y protegido de la luz. ,BIOLOGISCHE HEILMITTEL HEEL GmbH,Alemania.,Heel Colombia Ltda.,"Ampolla incolora en vidrio borosilicato, tipo OPC (One Point Cut) clase hidrolitica I por 5 mL. Caja plegadiza que contiene 1 o 5 ampollas incoloras de vidrio borosilicato tipo OPC (One Point Cut) clase hidrolitica I por 5 mL.","Bovinos, Caninos, Equinos, Felinos, Ovinos, Porcinos",No aplica.,Analgésicos,VIGENTE,EXTRANJERO (Importado)
8735-MV,HEEL COLOMBIA LTDA,VIGENTE,OVARIUM COMPOSITUM AD US. VET,"Cada ampolla de 5 mL. contiene:_x000D_
_x000D_
Ovarium suis D8_x000D_
Placenta totalis suis D10_x000D_
Ulterus suis D10_x000D_
Tuba uterina suis D10_x000D_
Hypophysis suis D13_x000D_
Cypripedium parviflorum var. pubescens D6_x000D_
Magnesium phosphoricum D10_x000D_
Lilium lancifolium D4_x000D_
Pulsatilla protensis D18_x000D_
Aquilegia vulgaris D4_x000D_
Sepia officinalis D10_x000D_
Lachesis D10_x000D_
Apisinum D8_x000D_
Kreosotum D8_x000D_
Calvatia gigantea D6_x000D_
Psychotria ipecacuanha D6_x000D_
Mercurius solubilis Hahnemanni D10_x000D_
Hidrastis canadensis D4_x000D_
Acidum cis-aconiticum D10_x000D_
_x000D_
","_x000D_
_x000D_
50 mg._x000D_
50 mg._x000D_
50 mg._x000D_
50 mg._x000D_
50 mg._x000D_
50 mg._x000D_
50 mg._x000D_
50 mg._x000D_
50 mg._x000D_
50 mg._x000D_
50 mg._x000D_
50 mg._x000D_
50 mg._x000D_
50 mg._x000D_
50 mg._x000D_
50 mg._x000D_
50 mg._x000D_
50 mg._x000D_
50 mg._x000D_
","En equinos, bovinos, porcinos, ovinos, caninos y gatos como medicamento homeopático, indicaciones y posología a criterio del Médico Veterinario",Venta bajo formula del Médico veterinario. Manténgase fuera del alcance de los niños. Consérvese en lugar fresco (almacenar a no más de 30°C) y seco y protegido de la luz. Uso Veterinario.,BIOLOGISCHE HEILMITTEL HEEL GMBH,Alemania.,No informa.,"Ampolla incolora en vidrio borosilicato, tipo OPC (One Point Cut) clase hidrolitica I por 5 mL. Caja plegadiza que contiene 1 o 5 ampollas incoloras de vidrio borosilicato tipo OPC (One Point Cut) clase hidrolitica I por 5 mL.","Equinos, Bovinos, Porcinos, Ovinos, Caninos y Felinos",No informa,,VIGENTE,EXTRANJERO (Importado)
