name,nit,domain,brands
CARVAL DE COLOMBIA (Vallecilla B & Cía),890318919,https://www.carval.com.co,"Master LP, Curamicina, Floxin, Cicloprostol, Carval Pets, Biomin"
EMPRESA COLOMBIANA DE PRODUCTOS VETERINARIOS S.A. (VECOL S.A.),899999002,https://www.vecol.com.co,"Aftogan, Brucelosis RB51, Rabigan, Trivalente, Vecolmicina, Fosfogan"
ALURA ANIMAL HEALTH & NUTRITION S.A.S,800059688,https://iluma.bio,"Premezclas Iluma, enzimas digestivas, secuestrantes micotoxinas, antibióticos solubles"
LABORATORIOS SERVINSUMOS S.A.,860521601,https://www.servinsumos.com.co,"Florfenicol Servinsumos, Oxitetraciclina LA, vacunas respiratorias, dispositivos IATF"
KYROVET LABORATORIES S.A.,800193165,https://www.kyrovet.com,"Ketamina Kyrovet, Xilacina Kyrovet, Tramadol, Meloxicam, Condrovet, DermaVet"
LABORATORIOS EDO S.A.S.,890308184,https://www.laboratoriosedo.com,"EDO Modimax, EDO Cozink, EDO Fosfosel, EDO Iverplus, EDO Electrolitos"
LABORATORIOS PROVET S.A.S.,860529588,https://www.laboratoriosprovet.com,"Total Full, Provet Tabs, Endogard, champús medicados, Doxiciclina Provet, Cefalexina"
PHARVET S.A.S.,800223046,https://www.pharvet.com.co,"Tilosina Pharvet, Florfenicol, selladores de pezones, complejos vitamínicos"
LIMOR DE COLOMBIA S.A.S.,800238326,https://www.limor.com.co,"Vacuna Antirrábica Limor, Clostridiales, Ántrax bacteridiano, vacunas porcinas"
INVET S.A.S.,860070530,https://www.invetcolombia.com.co,"Invetmectina, moduladores metabólicos, complejos de calcio-fósforo, aditivos"
LABORATORIO COLOMBIANO DE VETERINARIA S.A.S. (COLVET),830052144,https://www.colvet.com.co,"Colvetrim, Oxitetraciclina Colvet, antibióticos solubles avícolas/porcícolas"
LABORATORIOS ZOO S.A.S.,860010469,https://www.laboratorioszoo.com,"Garrapaticidas Zoo, Cipermetrina Zoo, mosquicidas pour-on, reconstituyentes lecheros"
NOVALFARM S.A.S.,800106051,https://www.novalfarm.com,"Novamectina, Novabiotic, antiinflamatorios inyectables, vitaminas pecuarias"
LABORATORIOS CALLBEST LIMITADA (VETERLAND),800056544,https://www.veterland.com,"Veterland antiparasitarios, tónicos reconstituyentes, analgésicos veterinarios"
FARMATEC LTDA,800152485,https://www.farmatec.com.co,"Agroquímicos y pecuarios, desparasitantes orales, premezclas vitamínicas"
