NIT,RazonSocial,Subtipo,Ciudad,Tamano,2018,2019,2020,2021,2022,2023,2024,2025,Total_5Y_20_24
860026895,ITALCOL SA,NUTRICION_BALANCEADOS_GIGANTE,BOGOTA D.C.,XL,1310200.191,1528594.309,1856377.257,2582925.768,3413833.495,3630909.606,3161196.187,3761807.644,14645242.313000001
890901271,CONTEGRAL S.A.S.,NUTRICION_BALANCEADOS_GIGANTE,ENVIGADO-ANTIOQUIA,XL,1700038.002,1676554.056,2171084.413,2625427.458,3458992.327,3585958.4,2791240.142,3059011.406,14632702.740000002
891304762,ITALCOL DE OCCIDENTE S.A.,NUTRICION_BALANCEADOS_GIGANTE,PALMIRA-VALLE,XL,897192.28,996869.454,1233523.555,1683475.037,2241453.472,2527160.615,2271392.348,2566089.276,9957005.027
860000753,BOEHRINGER INGELHEIM SA,IMPORTADOR_MULTINACIONAL,BOGOTA D.C.,XL,240355.617,324490.424,426370.052,567835.5,768087.633,1025240.366,1152270.634,1228886.775,3939804.185
800164767,GABRICA SAS,DISTRIBUIDOR_MAYORISTA_PET,BOGOTA D.C.,L,122733.06,152583.875,198646.971,279419.464,354639.125,389020.107,394274.982,410143.995,1616000.649
901186367,ELANCO COLOMBIA S.A.S,IMPORTADOR_MULTINACIONAL,BOGOTA D.C.,L,0.0,188563.763,170269.043,208580.674,242507.392,255948.676,178124.17,195117.227,1055429.9549999998
800221724,PRODUCTORA DE INSUMOS AGROPECUARIOS SOMEX S.A.S.,NUTRICION_SALES_GANADERAS,MEDELLIN-ANTIOQUIA,L,95426.93,108555.429,119476.21,153824.413,209533.029,208504.818,222389.988,223940.974,913728.458
830033494,HEEL COLOMBIA LTDA,IMPORTADOR_MULTINACIONAL,BOGOTA D.C.,L,62109.242,72825.149,86348.83,118041.827,150372.004,174708.544,193922.9,228294.296,723394.105
860069284,AGROCAMPO SAS,DISTRIBUIDOR_MAYORISTA_PET,BOGOTA D.C.,L,96591.262,102227.003,110452.035,124845.178,142246.598,158668.479,164147.652,165637.972,700359.942
811047208,JARAMILLO PETS  S.A.S.,DISTRIBUIDOR_MAYORISTA_PET,MEDELLIN-ANTIOQUIA,L,61937.265,72408.528,92172.413,119413.326,150379.896,150379.896,158128.347,164598.865,670473.878
900490865,ZOETIS COLOMBIA SAS,IMPORTADOR_MULTINACIONAL,BOGOTA D.C.,L,70443.154,64872.381,76719.025,90389.67,98273.699,117127.989,133492.621,153316.732,516003.00399999996
860514325,VIRBAC COLOMBIA LTDA,IMPORTADOR_MULTINACIONAL,BOGOTA D.C.,L,39942.085,42852.715,51725.53,66319.095,78731.458,86476.547,96516.045,111735.487,379768.675
900524514,CEVA SALUD ANIMAL SAS,IMPORTADOR_MULTINACIONAL,BOGOTA D.C.,L,20091.402,33495.643,39578.008,50891.284,65587.846,84997.856,82887.34,100839.682,323942.33400000003
