ranking,referencia,molecula_tipo,titular_fabricante,origen,segmento_especie,rango_ventas_anual_cop,participacion_mercado
1,Aftogan (Vacuna Antiaftosa Oleosa Bivalente),Virus inactivado de Fiebre Aftosa (Cepas O1 Campos y A24 Cruzeiro),VECOL S.A.,Fabricado Nacional,Bovinos y Bufalinos,$75.000 M - $90.000 M,Líder monopólico oficial ICA en ciclos de vacunación nacional
2,Master L.P. (Ivermectina 3.15% Larga Acción),"Ivermectina al 3,15% en vehículo tixotrópico",Carval de Colombia S.C.A.,Fabricado Nacional,Bovinos (Carne y Leche),$60.000 M - $75.000 M,Endectocida inyectable de mayor venta y recordación ganadera
3,Ganapen (Penicilinas G Compuestas + Estreptomicina),"Penicilina G Benzatínica, Procaínica, Potásica + Estreptomicina",Laboratorios Chalver de Colombia,Fabricado Nacional,"Bovinos, Equinos, Cerdos",$45.000 M - $55.000 M,Antibiótico inyectable líder tradicional en hatos ganaderos
4,Curamicina L.A. (Oxitetraciclina 20% + Diclofenaco),Oxitetraciclina 200 mg/ml + Diclofenaco sódico 5 mg/ml,Carval de Colombia S.C.A.,Fabricado Nacional,"Bovinos, Porcinos, Ovinos",$40.000 M - $50.000 M,Antimicrobiano de amplio espectro con acción antiinflamatoria
5,Fosfosal / Tónico Toldimfos Sódico,Ácido 4-dimetilamino-2-metilfenil fosfínico (Fósforo orgánico),Laboratorios Chalver de Colombia,Fabricado Nacional,"Bovinos, Equinos, Porcinos",$30.000 M - $40.000 M,Reconstituyente metabólico de mayor rotación para preñez y ceba
6,EDO Modimax (Modificador Orgánico con Aminoácidos),18 L-Aminoácidos + Minerales quelados + Complejo B,Laboratorios EDO S.A.S.,Fabricado Nacional,"Bovinos, Equinos, Porcinos",$20.000 M - $28.000 M,Modificador orgánico líder en ganadería de trópico y equinos
7,Total Full / Provet Tabs (Antiparasitario Canino Palatable),Praziquantel + Pamoato de Pirantel + Febantel saborizado,Laboratorios Provet S.A.S.,Fabricado Nacional,Caninos y Felinos (Pet Care),$18.000 M - $25.000 M,Líder nacional en desparasitación interna de pequeños animales
8,Fosfogan / Complejo B Vecol,Fosforilcolamina + Vitamina B12 (Cianocobalamina),VECOL S.A.,Fabricado Nacional,Bovinos y Rumiantes,$18.000 M - $24.000 M,Reconstituyente mineral oficial de alta prescripción gremial
9,Cicloprostol / D-Cloprostenol (Hormona IATF),D-Cloprostenol sódico (Prostaglandina F2alfa),Carval de Colombia S.C.A.,Fabricado Nacional,Bovinos (Lechería y Cría),$15.000 M - $22.000 M,Pilar farmacológico para protocolos de sincronización ovárica
10,Ketamina Kyrovet / Xilacina Kyrovet,Clorhidrato de Ketamina 10% + Xilacina 2% y 10%,Kyrovet Laboratories S.A.,Fabricado Nacional,"Perros, Gatos, Equinos, Bovinos",$14.000 M - $20.000 M,Protocolo anestésico y sedante estándar en clínicas veterinarias
11,Brucelosis Cepa RB51 y Cepa 19,Brucella abortus cepas vivas atenuadas RB51 y 19,VECOL S.A.,Fabricado Nacional,Hembras Bovinas y Bufalinas,$12.000 M - $18.000 M,Biológico oficial de vacunación obligatoria en terneras
12,Invetmectina 3.15% L.A.,"Ivermectina 3,15% inyectable",Invet S.A.S.,Fabricado Nacional,Bovinos de Ceba,$12.000 M - $16.000 M,Alta penetración en corrales y comercializadoras ganaderas
13,Florfenicol 30% Servinsumos / Pharvet,Florfenicol 300 mg/ml inyectable,Laboratorios Servinsumos / Pharvet,Fabricado Nacional,Bovinos y Porcinos,$10.000 M - $15.000 M,Tratamiento de elección para Complejo Respiratorio Bovino (CRB)
14,Mastisec / Mastitest (Secantes Intramamarios),Cloxacilina benzatínica + Ampicilina intramamaria,VECOL / Carval,Fabricado Nacional,Vacas Lecheras en Secado,$9.000 M - $14.000 M,Protocolo estándar de sanidad de ubre en lechería especializada
15,Condrovet Plus / Regeneradores Articulares,Condroitín sulfato + Glucosamina + Colágeno tipo II,Kyrovet / Carval Pets,Fabricado Nacional,Caninos de edad avanzada,$8.000 M - $12.000 M,Suplemento articular veterinario de mayor prescripción en clínicas
